material_id,formula,n_pred_n0,n_target
mp-1175245,Li7Mn4CoO12,2.4279,0.0
mp-1177583,Li3MnV(PO4)3,1.955,0.0
mp-1178981,YbPS4,2.2441,0.0
mp-541766,Rb3InP2,2.5736,0.0
mp-850909,Li3Mn2(PO4)3,1.9462,0.0
mp-753301,Na4(NiO2)5,2.5611,0.0
mp-1075930,LaSm(CoO3)2,2.7458,0.0
mp-1305214,LiCr(CoO3)2,2.8205,0.0
mp-560243,Np2H12SO14,1.6626,0.0
mp-1030459,Te2Mo2SeS,0.9392,0.0
mp-1239165,TaCr3(AgS4)2,3.4229,0.0
mp-1642086,Li4FeTe(WO6)2,2.2756,0.0
mp-1213048,ErAsSe,3.9932,0.0
mp-15077,Ag7AsS6,2.9567,0.0
mp-23581,Cr3B7BrO13,1.8969,0.0
mp-1185596,Mg149Al,2.8658,0.0
mp-28079,Na2Mn2S3,2.2651,0.0
mp-1517132,Eu2ZrSnO6,2.2548,0.0
mp-1222546,LiCuSbO4,2.7569,0.0
mp-758346,LiMn3Al2(HO2)6,1.8666,0.0
mp-1299651,LiMn3O4,2.286,0.0
mp-1227939,BaLa3(NiO4)2,2.4324,0.0
mp-1026910,MoW(SeS)2,2.8523,0.0
mp-1208663,SrP2PdO7,1.8358,0.0
mp-776449,Li2MnVP2(O4F)2,1.9291,0.0
mp-777467,LiMn2(BO3)2,2.0394,0.0
mp-759050,Li6FeCo9O20,2.8235,0.0
mp-23108,Cs2NaUCl6,1.7238,0.0
mvc-13145,Zn3Cu2(AsO4)4,2.1469,0.0
mp-1028826,Te6MoW3S2,1.3,0.0
mp-1175647,Li9Mn2Co5O16,2.521,0.0
mp-1274653,La2MgCoO6,2.4036,0.0
mp-567596,In6Se7,3.2641,0.0
mp-1172871,Mn7GeO12,3.1754,0.0
mp-560341,EuSi2(NO)2,1.9942,0.0
mp-764005,Li4TiV3O8,2.3505,0.0
mp-504636,K2MnO4,1.6607,0.0
mp-1239175,TaCr3(AgS4)2,3.4119,0.0
mp-756380,Li4Ti3Mn3(WO8)2,2.2483,0.0
mp-574651,CsSmMnSe3,2.3663,0.0
mvc-8337,Cu3(MoO3)4,3.2518,0.0
mp-560786,Nd10S19,2.8843,0.0
