Bi2Zr2O7,,
frequency (Hz),real impedance,imaginary impedance
2.00E+01,3074366.604,11069861.88
2.12E+01,2904295.806,10533165.51
2.24E+01,2715428.085,10085191.18
2.38E+01,2519757.532,9570885.681
2.52E+01,2351783.204,9146856.753
2.67E+01,2221716.481,8724710.37
2.83E+01,2047267.34,8309537.96
2.99E+01,1907673.8,7913447.706
3.17E+01,1796375.477,7549631.685
3.36E+01,1663028.562,7183719.194
3.56E+01,1554611.102,6823725.309
3.77E+01,1479138.174,6493338.717
3.99E+01,1379600.051,6185699.54
4.23E+01,1291673.805,5890710.494
4.48E+01,1209001.57,5610468.047
4.74E+01,1129866.237,5342462.14
5.02E+01,1054434.668,5071161.781
5.32E+01,980698.816,4830937.67
5.64E+01,924514.8404,4597929.981
5.97E+01,863692.9594,4366562.387
6.33E+01,802722.7566,4149171.262
6.70E+01,751668.7153,3948309.449
7.10E+01,703218.8609,3751341.081
7.52E+01,657629.9038,3563985.1
7.96E+01,615724.7445,3387197.04
8.43E+01,576805.9855,3218538.151
8.93E+01,538004.1726,3057138.468
9.46E+01,502869.0432,2905550.836
1.00E+02,470084.2423,2761037.009
1.06E+02,439296.0798,2621728.702
1.13E+02,411635.5085,2489765.172
1.19E+02,385470.9898,2366044.906
1.26E+02,358757.3955,2244791.915
1.34E+02,336666.0189,2131682.355
1.42E+02,315203.5834,2023806.84
1.50E+02,295453.9783,1921250.94
1.59E+02,275517.5449,1823059.121
1.68E+02,257355.2672,1730957.049
1.78E+02,241065.5511,1642563.019
1.89E+02,225692.8623,1559602.698
2.00E+02,210939.1315,1479451.932
2.12E+02,197226.5049,1403874.894
2.24E+02,184249.7821,1332008.751
2.38E+02,172297.0496,1264094.525
2.52E+02,161441.0419,1198935.66
2.67E+02,150870.2683,1137228.128
2.83E+02,141047.6636,1078698.102
2.99E+02,131767.7166,1023218.655
3.17E+02,123304.68,970143.7302
3.36E+02,115349.2173,920099.4174
3.56E+02,107874.6592,872404.007
3.77E+02,101009.6463,827512.4472
3.99E+02,94310.63953,784574.7406
4.23E+02,88226.74002,743927.4634
4.48E+02,82453.74562,705396.6228
4.74E+02,77141.54681,668625.6762
5.02E+02,72093.90257,633603.2143
5.32E+02,67419.20185,600625.8804
5.64E+02,63001.78223,569314.3134
5.97E+02,58933.91694,539624.3019
6.33E+02,55122.33443,511417.5074
6.70E+02,51553.6287,484708.1917
7.10E+02,48191.71766,459346.6068
7.52E+02,45075.82098,435237.1994
7.96E+02,42176.1317,412476.9489
8.43E+02,39432.46545,390824.8328
8.93E+02,36863.64766,370276.5723
9.46E+02,34460.123,350819.3321
1.00E+03,32209.19855,332414.6055
1.06E+03,30118.00517,314767.1753
1.13E+03,28143.90036,298175.1111
1.19E+03,26335.08868,282605.6109
1.26E+03,24619.12068,267605.1526
1.34E+03,23004.83862,253420.4636
1.42E+03,21507.78774,240068.6581
1.50E+03,20096.87755,227348.646
1.59E+03,18785.79928,215300.36
1.68E+03,17560.00598,203908.1123
1.78E+03,16408.37353,193077.7757
1.89E+03,15338.46064,182889.2157
2.00E+03,14328.73213,173167.0134
2.12E+03,13380.18632,163919.7257
2.24E+03,12508.96746,155245.7585
2.38E+03,11687.89274,146985.3806
2.52E+03,10918.1459,139153.9948
2.67E+03,10198.64302,131751.6009
2.83E+03,9526.88833,124728.7109
2.99E+03,8899.758502,118088.0346
3.17E+03,8310.607587,111764.5384
3.36E+03,7763.058057,105787.0312
3.56E+03,7248.053732,100135.9744
3.77E+03,6769.402485,94798.38974
3.99E+03,6318.960885,89708.10302
4.23E+03,5901.164321,84915.45802
4.48E+03,5510.70744,80372.96328
4.74E+03,5142.142272,76051.95277
5.02E+03,4801.073666,71972.53549
5.32E+03,4480.86993,68119.59404
5.64E+03,4180.960596,64453.76613
5.97E+03,3902.415291,60989.88391
6.33E+03,3641.226479,57709.54981
6.70E+03,3397.822009,54610.48194
7.10E+03,3170.946851,51670.57466
7.52E+03,2958.746985,48883.69545
7.96E+03,2760.823083,46250.41477
8.43E+03,2574.921796,43755.75783
8.93E+03,2401.342619,41394.87566
9.46E+03,2239.828843,39161.63572
1.00E+04,2090.294896,37059.88868
1.06E+04,1947.421164,35037.72194
1.13E+04,1815.329279,33141.3434
1.19E+04,1693.548604,31365.61887
1.26E+04,1578.171434,29658.77836
1.34E+04,1470.6382,28048.34696
1.42E+04,1371.592105,26533.04111
1.50E+04,1278.600102,25093.46489
1.59E+04,1192.148516,23731.18711
1.68E+04,1110.948089,22445.63728
1.78E+04,1035.0958,21224.12249
1.89E+04,965.0166483,20078.33734
2.00E+04,899.3315268,18986.17619
2.12E+04,837.7894298,17950.20615
2.24E+04,781.0449694,16978.27115
2.38E+04,727.8345587,16054.25547
2.52E+04,678.0269902,15179.44266
2.67E+04,631.7064079,14354.11796
2.83E+04,588.5348094,13572.36276
2.99E+04,548.1285549,12833.49249
3.17E+04,510.5061847,12130.56172
3.36E+04,475.4138404,11468.50498
3.56E+04,442.73315,10842.71575
3.77E+04,412.377117,10252.80897
3.99E+04,383.9592494,9691.154615
4.23E+04,357.5793789,9162.844121
4.48E+04,333.0834794,8663.071294
4.74E+04,310.1364006,8188.313491
5.02E+04,288.7752232,7740.567353
5.32E+04,268.9257862,7318.035904
5.64E+04,250.3641809,6916.74013
5.97E+04,233.0989643,6538.134723
6.33E+04,216.993224,6179.895028
6.70E+04,202.0569434,5842.035304
7.10E+04,188.1189819,5521.84583
7.52E+04,175.1165881,5218.855968
7.96E+04,163.034074,4932.951626
8.43E+04,151.7601985,4662.278781
8.93E+04,141.2846931,4406.352536
9.46E+04,131.5172811,4164.673732
1.00E+05,121.5658932,3937.827098
1.06E+05,113.0623533,3719.40913
1.13E+05,105.2131403,3514.939106
1.19E+05,98.02424415,3323.661157
1.26E+05,91.20643745,3139.827817
1.34E+05,84.87267291,2966.690753
1.42E+05,79.02423411,2803.978994
1.50E+05,73.55358779,2649.553283
1.59E+05,68.4694336,2503.5705
1.68E+05,63.73768606,2365.973598
1.78E+05,59.33196104,2235.379191
1.89E+05,55.26823164,2112.971002
2.00E+05,51.43525657,1996.452896
2.12E+05,47.87838806,1886.038798
2.24E+05,44.60518481,1782.570149
2.38E+05,41.53207323,1684.29276
2.52E+05,38.67188887,1591.306462
2.67E+05,36.02391864,1503.668302
2.83E+05,33.49631717,1420.669474
2.99E+05,31.2041764,1342.464004
3.17E+05,29.06378015,1268.099211
3.36E+05,27.05402109,1198.059992
3.56E+05,25.21012562,1131.892825
3.77E+05,23.50628006,1069.59771
3.99E+05,21.88871781,1010.328928
4.23E+05,20.3913817,954.6455385
4.48E+05,19.01569791,902.0084483
4.74E+05,17.72529911,852.0497057
5.02E+05,16.51576415,804.980384
5.32E+05,15.40563326,760.5780006
5.64E+05,14.36837966,718.4332447
5.97E+05,13.39185239,678.695864
6.33E+05,12.5000539,641.1462285
6.70E+05,11.65407825,605.7558147
7.10E+05,10.87991027,572.2336838
7.52E+05,10.14664486,540.5327723
7.96E+05,9.475389323,510.6473755
8.43E+05,8.838846772,482.3863866
8.93E+05,8.257268821,455.6813494
9.46E+05,7.713241932,430.4737909
1.00E+06,7.209090762,406.8164794
1.06E+06,6.732265013,384.073343
1.13E+06,6.287299906,362.7677862
1.19E+06,5.879714721,342.8741379
1.26E+06,5.489029653,323.7748664
1.34E+06,5.133756391,305.7894338
1.42E+06,4.796723847,288.8935953
1.50E+06,4.491295234,272.8691468
1.59E+06,4.195593102,257.7346285
1.68E+06,3.924050294,243.4686479
1.78E+06,3.676609762,229.9485543
1.89E+06,3.437269877,217.2827366
2.00E+06,3.212391357,205.2301721
