Frequency (Hz),Real Permittivity,Dielectric Loss tan(δ),Imaginary Permittivity
2.00E+01,2.29E+03,1.71E+00,3.92E+03
2.12E+01,2.21E+03,1.70E+00,3.77E+03
2.24E+01,2.14E+03,1.69E+00,3.61E+03
2.38E+01,2.08E+03,1.67E+00,3.47E+03
2.52E+01,2.01E+03,1.65E+00,3.33E+03
2.67E+01,1.95E+03,1.64E+00,3.20E+03
2.83E+01,1.89E+03,1.63E+00,3.07E+03
2.99E+01,1.83E+03,1.61E+00,2.95E+03
3.17E+01,1.77E+03,1.61E+00,2.84E+03
3.36E+01,1.71E+03,1.59E+00,2.72E+03
3.56E+01,1.67E+03,1.57E+00,2.62E+03
3.77E+01,1.62E+03,1.56E+00,2.52E+03
3.99E+01,1.56E+03,1.55E+00,2.43E+03
4.23E+01,1.51E+03,1.54E+00,2.33E+03
4.48E+01,1.46E+03,1.53E+00,2.24E+03
4.74E+01,1.42E+03,1.52E+00,2.17E+03
5.02E+01,1.38E+03,1.50E+00,2.07E+03
5.32E+01,1.34E+03,1.50E+00,2.01E+03
5.64E+01,1.29E+03,1.50E+00,1.93E+03
5.97E+01,1.25E+03,1.48E+00,1.86E+03
6.33E+01,1.21E+03,1.48E+00,1.79E+03
6.70E+01,1.17E+03,1.47E+00,1.72E+03
7.10E+01,1.14E+03,1.46E+00,1.66E+03
7.52E+01,1.10E+03,1.46E+00,1.60E+03
7.96E+01,1.07E+03,1.45E+00,1.55E+03
8.43E+01,1.03E+03,1.44E+00,1.49E+03
8.93E+01,9.99E+02,1.44E+00,1.44E+03
9.46E+01,9.65E+02,1.44E+00,1.39E+03
1.00E+02,9.36E+02,1.43E+00,1.34E+03
1.06E+02,9.07E+02,1.42E+00,1.29E+03
1.13E+02,8.78E+02,1.42E+00,1.24E+03
1.19E+02,8.50E+02,1.41E+00,1.20E+03
1.26E+02,8.24E+02,1.41E+00,1.16E+03
1.34E+02,7.97E+02,1.40E+00,1.12E+03
1.42E+02,7.72E+02,1.40E+00,1.08E+03
1.50E+02,7.46E+02,1.39E+00,1.04E+03
1.59E+02,7.22E+02,1.39E+00,1.00E+03
1.68E+02,6.99E+02,1.39E+00,9.68E+02
1.78E+02,6.76E+02,1.38E+00,9.35E+02
1.89E+02,6.54E+02,1.38E+00,9.03E+02
2.00E+02,6.33E+02,1.38E+00,8.72E+02
2.12E+02,6.12E+02,1.37E+00,8.41E+02
2.24E+02,5.92E+02,1.37E+00,8.12E+02
2.38E+02,5.72E+02,1.37E+00,7.84E+02
2.52E+02,5.54E+02,1.37E+00,7.57E+02
2.67E+02,5.35E+02,1.37E+00,7.32E+02
2.83E+02,5.18E+02,1.36E+00,7.06E+02
2.99E+02,5.01E+02,1.36E+00,6.82E+02
3.17E+02,4.84E+02,1.36E+00,6.59E+02
3.36E+02,4.68E+02,1.36E+00,6.36E+02
3.56E+02,4.52E+02,1.36E+00,6.14E+02
3.77E+02,4.37E+02,1.36E+00,5.93E+02
3.99E+02,4.23E+02,1.35E+00,5.73E+02
4.23E+02,4.09E+02,1.35E+00,5.53E+02
4.48E+02,3.95E+02,1.35E+00,5.34E+02
4.74E+02,3.82E+02,1.35E+00,5.15E+02
5.02E+02,3.69E+02,1.35E+00,4.97E+02
5.32E+02,3.57E+02,1.34E+00,4.80E+02
5.64E+02,3.45E+02,1.34E+00,4.63E+02
5.97E+02,3.34E+02,1.34E+00,4.47E+02
6.33E+02,3.23E+02,1.34E+00,4.32E+02
6.70E+02,3.12E+02,1.34E+00,4.17E+02
7.10E+02,3.02E+02,1.33E+00,4.02E+02
