Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
2000,92.28634644,2000,76.33504486
1999,92.24829865,1999,76.31056213
1998,92.23767853,1998,76.29234314
1997,92.228302,1997,76.27527618
1996,92.18017578,1996,76.26046753
1995,92.16757202,1995,76.22150421
1994,92.14149475,1994,76.21439362
1993,92.11486053,1993,76.19800568
1992,92.11800385,1992,76.18402863
1991,92.08882141,1991,76.1531601
1990,92.07765198,1990,76.14845276
1989,92.05597687,1989,76.14103699
1988,92.03547668,1988,76.11374664
1987,91.99312592,1987,76.10551453
1986,91.98423004,1986,76.08377838
1985,91.97596741,1985,76.05168915
1984,91.96557617,1984,76.06427765
1983,91.91365051,1983,76.02992249
1982,91.90473938,1982,76.00157928
1981,91.88339233,1981,76.00213623
1980,91.87523651,1980,75.97615051
1979,91.85315704,1979,75.96608734
1978,91.83352661,1978,75.95020294
1977,91.81031036,1977,75.93389893
1976,91.79114532,1976,75.92694855
1975,91.78638458,1975,75.91815948
1974,91.75339508,1974,75.8902359
1973,91.75106049,1973,75.89082336
1972,91.72246552,1972,75.87529755
1971,91.71389008,1971,75.85097504
1970,91.71364594,1970,75.85055542
1969,91.67939758,1969,75.82992554
1968,91.65480042,1968,75.8120575
1967,91.64222717,1967,75.80271912
1966,91.63341522,1966,75.78843689
1965,91.63010406,1965,75.78003693
1964,91.59494781,1964,75.75289154
1963,91.60030365,1963,75.75730896
1962,91.55600739,1962,75.72832489
1961,91.55001068,1961,75.73318481
1960,91.55142975,1960,75.72172546
1959,91.53124237,1959,75.70326233
1958,91.5186615,1958,75.70238495
1957,91.49799347,1957,75.68657684
1956,91.49331665,1956,75.68439484
1955,91.48509216,1955,75.67837524
1954,91.47170258,1954,75.6488266
1953,91.4552002,1953,75.65714264
1952,91.44412231,1952,75.64144135
1951,91.43676758,1951,75.62628174
1950,91.44076538,1950,75.63235474
1949,91.40683746,1949,75.6095047
1948,91.40401459,1948,75.60608673
1947,91.39441681,1947,75.61681366
1946,91.37468719,1946,75.60221863
1945,91.36975098,1945,75.58665466
1944,91.36506653,1944,75.5838623
1943,91.34503937,1943,75.56163025
1942,91.35545349,1942,75.57565308
1941,91.33340454,1941,75.5582962
1940,91.31568909,1940,75.54723358
1939,91.32019806,1939,75.56049347
1938,91.31497955,1938,75.55601501
1937,91.30316162,1937,75.54438782
1936,91.30596924,1936,75.54592896
1935,91.30527496,1935,75.54772186
1934,91.30770111,1934,75.55330658
1933,91.29850006,1933,75.54172516
1932,91.2936554,1932,75.54222107
1931,91.29351044,1931,75.52279663
1930,91.28852081,1930,75.52354431
1929,91.2820282,1929,75.51229095
1928,91.2906189,1928,75.53663635
1927,91.29904175,1927,75.53871155
1926,91.28291321,1926,75.52495575
1925,91.29989624,1925,75.52588654
1924,91.29737091,1924,75.5282135
1923,91.3030777,1923,75.53260803
1922,91.3085556,1922,75.52426147
1921,91.30754089,1921,75.5211792
1920,91.3063736,1920,75.54393005
1919,91.33021545,1919,75.54644012
1918,91.3421402,1918,75.54614258
1917,91.34584808,1917,75.54698181
1916,91.35795593,1916,75.54116821
1915,91.37252808,1915,75.56017303
1914,91.38776398,1914,75.56533813
1913,91.40609741,1913,75.5644455
1912,91.42617798,1912,75.57460785
1911,91.43035126,1911,75.58139801
1910,91.44639587,1910,75.55008698
1909,91.47891998,1909,75.57485199
1908,91.48576355,1908,75.57858276
1907,91.49265289,1907,75.56861877
1906,91.51566315,1906,75.57763672
1905,91.49427795,1905,75.55104828
1904,91.52679443,1904,75.56362152
1903,91.53945923,1903,75.57566071
1902,91.5478363,1902,75.57087708
1901,91.57540894,1901,75.58356476
1900,91.57492065,1900,75.58153534
1899,91.58164215,1899,75.57749176
1898,91.60797882,1898,75.59529877
1897,91.60564423,1897,75.58804321
1896,91.61432648,1896,75.5927887
1895,91.62133026,1895,75.58997345
1894,91.62712097,1894,75.58529663
1893,91.61237335,1893,75.583992
1892,91.63045502,1892,75.59936523
1891,91.63564301,1891,75.59529114
1890,91.63524628,1890,75.58409882
1889,91.63922119,1889,75.60294342
1888,91.64442444,1888,75.61060333
1887,91.66070557,1887,75.61547852
1886,91.67639923,1886,75.63617706
