Bi2Zr2O7,Bi2Zr2O7,Bi2Zr2O7,CsTaTeO6,CsTaTeO6,CsTaTeO6
energy (eV),(F(R)-E)^1/2,Fit,energy (eV),(F(R)-E)^1/2,Fit
0.62,0.04471,-4.89081,0.62,0.15081,-1.09495
0.62031,0.04495,-4.88989,0.62031,0.15103,-1.09417
0.62062,0.04502,-4.88897,0.62062,0.1512,-1.09339
0.62093,0.04509,-4.88804,0.62093,0.15136,-1.09261
0.62124,0.04539,-4.88712,0.62124,0.15151,-1.09183
0.62155,0.04548,-4.8862,0.62155,0.15183,-1.09105
0.62187,0.04565,-4.88527,0.62187,0.15192,-1.09027
0.62218,0.04582,-4.88435,0.62218,0.15208,-1.08948
0.62249,0.04582,-4.88342,0.62249,0.15223,-1.0887
0.6228,0.046,-4.8825,0.6228,0.15249,-1.08792
0.62312,0.04608,-4.88157,0.62312,0.15257,-1.08713
0.62343,0.04623,-4.88064,0.62343,0.15266,-1.08635
0.62374,0.04636,-4.87971,0.62374,0.1529,-1.08556
0.62406,0.04663,-4.87878,0.62406,0.153,-1.08477
0.62437,0.0467,-4.87785,0.62437,0.1532,-1.08398
0.62469,0.04676,-4.87691,0.62469,0.15347,-1.08319
0.625,0.04683,-4.87598,0.625,0.15342,-1.08241
0.62532,0.04716,-4.87505,0.62532,0.15371,-1.08161
0.62563,0.04723,-4.87411,0.62563,0.15396,-1.08082
0.62595,0.04737,-4.87317,0.62595,0.154,-1.08003
0.62626,0.04743,-4.87224,0.62626,0.15423,-1.07924
0.62658,0.04758,-4.8713,0.62658,0.15434,-1.07844
0.6269,0.04771,-4.87036,0.6269,0.1545,-1.07765
0.62721,0.04786,-4.86942,0.62721,0.15466,-1.07685
0.62753,0.04799,-4.86848,0.62753,0.15475,-1.07606
0.62785,0.04803,-4.86754,0.62785,0.15486,-1.07526
0.62817,0.04825,-4.86659,0.62817,0.1551,-1.07446
0.62848,0.04828,-4.86565,0.62848,0.15514,-1.07366
0.6288,0.04846,-4.8647,0.6288,0.15529,-1.07286
0.62912,0.04853,-4.86376,0.62912,0.15551,-1.07206
0.62944,0.04854,-4.86281,0.62944,0.15556,-1.07126
0.62976,0.04876,-4.86186,0.62976,0.15575,-1.07046
0.63008,0.04893,-4.86092,0.63008,0.15592,-1.06966
0.6304,0.04902,-4.85997,0.6304,0.15603,-1.06886
0.63072,0.04908,-4.85902,0.63072,0.15618,-1.06805
0.63104,0.04912,-4.85806,0.63104,0.15628,-1.06725
0.63136,0.04934,-4.85711,0.63136,0.15653,-1.06644
0.63169,0.04932,-4.85616,0.63169,0.15653,-1.06563
0.63201,0.04961,-4.8552,0.63201,0.15679,-1.06483
0.63233,0.04966,-4.85425,0.63233,0.15679,-1.06402
0.63265,0.04966,-4.85329,0.63265,0.15692,-1.06321
0.63298,0.0498,-4.85233,0.63298,0.1571,-1.0624
0.6333,0.04989,-4.85137,0.6333,0.15714,-1.06159
0.63362,0.05003,-4.85042,0.63362,0.1573,-1.06077
0.63395,0.05007,-4.84945,0.63395,0.15736,-1.05996
0.63427,0.05013,-4.84849,0.63427,0.15745,-1.05915
0.6346,0.05023,-4.84753,0.6346,0.15771,-1.05833
0.63492,0.05034,-4.84657,0.63492,0.15769,-1.05752
0.63525,0.05042,-4.8456,0.63525,0.15784,-1.0567
0.63557,0.05048,-4.84464,0.63557,0.158,-1.05589
0.6359,0.05047,-4.84367,0.6359,0.15799,-1.05507
0.63622,0.05069,-4.8427,0.63622,0.15821,-1.05425
0.63655,0.05072,-4.84174,0.63655,0.15827,-1.05343
0.63688,0.0508,-4.84077,0.63688,0.15823,-1.05261
0.6372,0.05093,-4.8398,0.6372,0.15838,-1.05179
0.63753,0.05098,-4.83882,0.63753,0.15854,-1.05097
0.63786,0.05102,-4.83785,0.63786,0.1586,-1.05015
0.63819,0.05115,-4.83688,0.63819,0.15881,-1.04932
0.63852,0.0511,-4.8359,0.63852,0.15875,-1.0485
0.63885,0.05125,-4.83493,0.63885,0.15892,-1.04767
0.63918,0.05138,-4.83395,0.63918,0.15904,-1.04685
0.6395,0.05136,-4.83298,0.6395,0.15898,-1.04602
0.63983,0.05141,-4.832,0.63983,0.15906,-1.04519
0.64017,0.05149,-4.83102,0.64017,0.15919,-1.04436
0.6405,0.05149,-4.83004,0.6405,0.15922,-1.04353
0.64083,0.05151,-4.82906,0.64083,0.15924,-1.0427
0.64116,0.0515,-4.82807,0.64116,0.15924,-1.04187
0.64149,0.05158,-4.82709,0.64149,0.15937,-1.04104
0.64182,0.05162,-4.82611,0.64182,0.15941,-1.04021
0.64215,0.05163,-4.82512,0.64215,0.1596,-1.03937
0.64249,0.05168,-4.82413,0.64249,0.15963,-1.03854
0.64282,0.05173,-4.82315,0.64282,0.15976,-1.0377
0.64315,0.05169,-4.82216,0.64315,0.15962,-1.03687
0.64349,0.05165,-4.82117,0.64349,0.15964,-1.03603
0.64382,0.05177,-4.82018,0.64382,0.15979,-1.03519
0.64416,0.05167,-4.81919,0.64416,0.15982,-1.03435
0.64449,0.0517,-4.81819,0.64449,0.15985,-1.03351
0.64483,0.05168,-4.8172,0.64483,0.15986,-1.03267
0.64516,0.05166,-4.8162,0.64516,0.15996,-1.03183
0.6455,0.05168,-4.81521,0.6455,0.16003,-1.03099
0.64583,0.0517,-4.81421,0.64583,0.15989,-1.03015
0.64617,0.05157,-4.81321,0.64617,0.15992,-1.0293
0.64651,0.0515,-4.81222,0.64651,0.15996,-1.02846
0.64684,0.05149,-4.81122,0.64684,0.16,-1.02761
0.64718,0.05143,-4.81021,0.64718,0.16008,-1.02676
0.64752,0.05136,-4.80921,0.64752,0.15998,-1.02592
0.64786,0.05127,-4.80821,0.64786,0.15998,-1.02507
0.6482,0.05117,-4.80721,0.6482,0.16003,-1.02422
0.64854,0.05106,-4.8062,0.64854,0.15999,-1.02337
0.64887,0.05105,-4.80519,0.64887,0.15998,-1.02252
0.64921,0.05096,-4.80419,0.64921,0.16027,-1.02166
0.64955,0.05077,-4.80318,0.64955,0.16012,-1.02081
0.6499,0.05074,-4.80217,0.6499,0.16013,-1.01996
0.65024,0.05071,-4.80116,0.65024,0.16025,-1.0191
0.65058,0.05058,-4.80015,0.65058,0.16022,-1.01825
0.65092,0.05073,-4.79913,0.65092,0.16047,-1.01739
0.65126,0.05054,-4.79812,0.65126,0.16041,-1.01653
0.6516,0.05047,-4.79711,0.6516,0.16036,-1.01567
0.65195,0.05044,-4.79609,0.65195,0.16044,-1.01481
0.65229,0.05028,-4.79507,0.65229,0.16039,-1.01395
0.65263,0.05029,-4.79406,0.65263,0.16045,-1.01309
0.65298,0.05026,-4.79304,0.65298,0.16052,-1.01223
0.65332,0.05011,-4.79202,0.65332,0.16043,-1.01137
0.65366,0.05014,-4.791,0.65366,0.16052,-1.0105
0.65401,0.0501,-4.78997,0.65401,0.16053,-1.00964
0.65435,0.05007,-4.78895,0.65435,0.16059,-1.00877
0.6547,0.05005,-4.78793,0.6547,0.16067,-1.00791
0.65504,0.05015,-4.7869,0.65504,0.16072,-1.00704
0.65539,0.05005,-4.78587,0.65539,0.16065,-1.00617
0.65574,0.05003,-4.78485,0.65574,0.16072,-1.0053
0.65608,0.05005,-4.78382,0.65608,0.16085,-1.00443
0.65643,0.05004,-4.78279,0.65643,0.16075,-1.00356
0.65678,0.05002,-4.78176,0.65678,0.16073,-1.00269
0.65713,0.04993,-4.78073,0.65713,0.16074,-1.00181
0.65748,0.04984,-4.77969,0.65748,0.16062,-1.00094
0.65782,0.04975,-4.77866,0.65782,0.16059,-1.00007
0.65817,0.04972,-4.77762,0.65817,0.1607,-0.99919
0.65852,0.04958,-4.77659,0.65852,0.16072,-0.99831
0.65887,0.04941,-4.77555,0.65887,0.16076,-0.99744
0.65922,0.04926,-4.77451,0.65922,0.16082,-0.99656
0.65957,0.04906,-4.77347,0.65957,0.16087,-0.99568
0.65993,0.04892,-4.77243,0.65993,0.16101,-0.9948
0.66028,0.04881,-4.77139,0.66028,0.16116,-0.99392
0.66063,0.04855,-4.77035,0.66063,0.16131,-0.99303
0.66098,0.04839,-4.7693,0.66098,0.16151,-0.99215
0.66133,0.04801,-4.76826,0.66133,0.16153,-0.99127
0.66169,0.04788,-4.76721,0.66169,0.16162,-0.99038
0.66204,0.04761,-4.76616,0.66204,0.16175,-0.98949
0.66239,0.04742,-4.76511,0.66239,0.16179,-0.98861
0.66275,0.04725,-4.76406,0.66275,0.16187,-0.98772
0.6631,0.04706,-4.76301,0.6631,0.16206,-0.98683
0.66346,0.0467,-4.76196,0.66346,0.16204,-0.98594
0.66381,0.04641,-4.76091,0.66381,0.16192,-0.98505
0.66417,0.04629,-4.75985,0.66417,0.16199,-0.98416
0.66452,0.04613,-4.7588,0.66452,0.16218,-0.98326
0.66488,0.04601,-4.75774,0.66488,0.16239,-0.98237
0.66524,0.04587,-4.75668,0.66524,0.16255,-0.98148
0.66559,0.04578,-4.75563,0.66559,0.16272,-0.98058
0.66595,0.04568,-4.75457,0.66595,0.16282,-0.97968
0.66631,0.04551,-4.75351,0.66631,0.1627,-0.97879
0.66667,0.04561,-4.75244,0.66667,0.16276,-0.97789
0.66703,0.0455,-4.75138,0.66703,0.16285,-0.97699
0.66738,0.04544,-4.75032,0.66738,0.16307,-0.97609
0.66774,0.04538,-4.74925,0.66774,0.163,-0.97519
0.6681,0.0454,-4.74818,0.6681,0.16305,-0.97428
0.66846,0.04544,-4.74712,0.66846,0.16308,-0.97338
0.66882,0.04534,-4.74605,0.66882,0.16303,-0.97247
0.66919,0.04534,-4.74498,0.66919,0.16324,-0.97157
0.66955,0.0453,-4.74391,0.66955,0.16346,-0.97066
0.66991,0.0453,-4.74283,0.66991,0.16363,-0.96976
0.67027,0.04532,-4.74176,0.67027,0.16356,-0.96885
0.67063,0.0453,-4.74068,0.67063,0.16376,-0.96794
0.671,0.04523,-4.73961,0.671,0.16375,-0.96703
0.67136,0.04528,-4.73853,0.67136,0.16399,-0.96612
