material_id,incar.ADDGRID,incar.ALGO,incar.EDIFF,incar.ENCUT,incar.IBRION,incar.ISMEAR,incar.LAECHG,incar.LASPH,incar.LORBIT,incar.LREAL,incar.LWAVE,incar.MAGMOM,incar.NSW,incar.PREC,incar.SIGMA,kpoints,potcar_spec,incar.SYSTEM,incar.NELMIN,incar.NPAR,incar.LDAU,incar.LDAUJ,incar.LDAUL,incar.LDAUPRINT,incar.LDAUTYPE,incar.LDAUU,incar.LMAXMIX,incar.EDIFFG,date,generation_style,formula,n_elements,n_sites,volume,bandgap_pbe,spacegroup
mp-1102830,True,Fast,0.0,700.0,2,-5,False,True,11,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",99,Accurate,0.05,"[[6, 3, 2]]","[{'titel': 'PAW_PBE Zr_sv 07Sep2000', 'hash': '82a385450ff5e8ee48d715cb73e01170'}, {'titel': 'PAW_PBE Tl_d 06Sep2000', 'hash': '78590fbb9adc26deddfa2c1440ce2524'}, {'titel': 'PAW_PBE S 17Jan2003', 'hash': 'd368db6899d8839859bbee4811a42a88'}]",,,,,,,,,,,,2018-07-18,Gamma,ZrTl2S3,3,12,317.9469,1.1705,11
mp-14058,,Fast,0.0,520.0,2,-5,,,,Auto,True,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",200,Accurate,0.05,"[[4, 4, 3]]","[{'titel': 'PAW_PBE K_sv 06Sep2000', 'hash': '3e84f86d37f203a4fb01de36af57e430'}, {'titel': 'PAW_PBE Mg_pv 06Sep2000', 'hash': 'bbcf6f81cc34a3090d483ad641178746'}, {'titel': 'PAW_PBE P 17Jan2003', 'hash': '7dc3393307131ae67785a0cdacb61d5f'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",Rubyvaspy :: o mg p k,3.0,1.0,,,,,,,,,2011-06-08,Gamma,KMg(PO3)3,4,28,388.1861,4.9474,188
mp-1541522,True,Fast,0.0,700.0,2,-5,False,True,11,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",99,Accurate,0.05,"[[5, 5, 3]]","[{'titel': 'PAW_PBE Bi 08Apr2002', 'hash': 'e29661c79d59abae3b3ba69eae24b1a5'}, {'titel': 'PAW_PBE P 17Jan2003', 'hash': '7dc3393307131ae67785a0cdacb61d5f'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",,,,,,,,,,,,2020-05-09,Gamma,BiPO4,3,12,165.489,4.0348,63
mp-15748,,Fast,0.0,520.0,2,-5,,,,Auto,True,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 5.0, 5.0, 0.6, 0.6, 0.6, 0.6]",200,Accurate,0.05,"[[5, 3, 3]]","[{'titel': 'PAW_PBE Sr_sv 07Sep2000', 'hash': 'ca6a5429c120a0ab705824386a76fe5b'}, {'titel': 'PAW_PBE Cu_pv 06Sep2000', 'hash': '2d718b6be91068094207c9e861e11a89'}, {'titel': 'PAW_PBE Si 05Jan2001', 'hash': 'b2b0ea6feb62e7cde209616683b8f7f5'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",Rubyvaspy :: o si cu sr,3.0,1.0,,,,,,,,,2011-06-08,Monkhorst,Sr2CuSi2O7,4,24,344.236,0.1588,113
mp-30321,,Fast,0.0038,520.0,2,-5,,,,Auto,True,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 5.0, 5.0, 5.0, 5.0]",200,Accurate,0.05,"[[4, 3, 3]]","[{'titel': 'PAW_PBE Y_sv 06Sep2000', 'hash': '4ed187e77cd54f198bb88020278b143d'}, {'titel': 'PAW_PBE P 17Jan2003', 'hash': '7dc3393307131ae67785a0cdacb61d5f'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",Rubyvaspy :: o p y,3.0,1.0,,,,,,,,,2013-09-30,Monkhorst,Y2P4O13,3,38,542.6754,5.6488,20
mp-39144,,Fast,0.001,520.0,2,-5,,,11,Auto,False,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",99,Accurate,0.05,"[[4, 4, 3]]","[{'titel': 'PAW_PBE Sr_sv 07Sep2000', 'hash': 'ca6a5429c120a0ab705824386a76fe5b'}, {'titel': 'PAW_PBE Li_sv 23Jan2001', 'hash': '4799bab014a83a07c654d7196c8ecfa9'}, {'titel': 'PAW_PBE Pr_3 07Sep2000', 'hash': '02c8c7dc821fbf705b300fe466b8bea0'}, {'titel': 'PAW_PBE Te 08Apr2002', 'hash': '72719856e22fb1d3032df6f96d98a0f2'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",,,,,,,,,,,,2014-02-15,Gamma,SrLiPrTeO6,5,10,128.5014,3.3139,8
mp-557209,True,Fast,0.0,700.0,2,-5,False,True,11,False,False,"[1.789, 1.789, 0.008, 0.008, 0.01, 0.01, 0.06, 0.025, 0.025, 0.021, 0.029, 0.025, 0.06, 0.029, 0.021, 0.025]",99,Accurate,0.05,"[[4, 3, 3]]","[{'titel': 'PAW_PBE Ni_pv 06Sep2000', 'hash': '252a974c7f603c1f24e30fd36a0dba30'}, {'titel': 'PAW_PBE Bi 08Apr2002', 'hash': 'e29661c79d59abae3b3ba69eae24b1a5'}, {'titel': 'PAW_PBE As 06Sep2000', 'hash': '8005364db225a254e52cba350bedd032'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",,,,True,"[0, 0, 0, 0]","[2, 0, 0, 0]",1.0,2,"[6.2, 0, 0, 0]",6.0,,2013-06-18,Gamma,NiBiAsO5,4,32,436.3508,2.9286,2
mp-567279,,Fast,0.0003,520.0,2,-5,,,11,Auto,False,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",99,Accurate,0.2,"[[8, 8, 4]]","[{'titel': 'PAW_PBE Zn 06Sep2000', 'hash': 'e35ee27f8483a63bb68dbc236a343af3'}, {'titel': 'PAW_PBE Cl 17Jan2003', 'hash': '779b9901046c78fe51c5d80224642aeb'}]",,,1.0,False,,,,,,,,2013-10-16,Monkhorst,ZnCl2,2,6,164.7202,3.8828,137
mp-626068,,Fast,0.0008,520.0,2,-5,,True,11,Auto,False,"[-5.0, -5.0, 5.0, 5.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",99,Accurate,0.05,"[[5, 4, 4]]","[{'titel': 'PAW_PBE Mn_pv 07Sep2000', 'hash': 'fa52f891f234d49bb4cb5ea96aae8f98'}, {'titel': 'PAW_PBE H 15Jun2001', 'hash': 'bb43c666e3d36577264afe07669e9582'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",,,,True,"[0, 0, 0]","[2, 0, 0]",1.0,2,"[3.9, 0, 0]",4.0,-0.05,2013-06-16,Gamma,MnHO2,3,16,141.8335,0.5128,31
mp-691106,,Fast,0.0005,520.0,2,-5,,True,11,Auto,False,"[-5.0, 5.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",99,Accurate,0.05,"[[5, 4, 5]]","[{'titel': 'PAW_PBE Mn_pv 07Sep2000', 'hash': 'fa52f891f234d49bb4cb5ea96aae8f98'}, {'titel': 'PAW_PBE Sn_d 06Sep2000', 'hash': '849b0795e148f93113a06be8fd5f5001'}, {'titel': 'PAW_PBE O 08Apr2002', 'hash': '7a25bc5b9a5393f46600a4939d357982'}]",,,,True,"[0, 0, 0]","[2, 0, 0]",1.0,2,"[3.9, 0, 0]",4.0,-0.05,2014-05-03,Gamma,MnSnO3,3,10,123.0427,0.3073,161
