material_id,formula,spacegroup,eps_total_petousis,eps_elec_petousis,n_petousis,eps_total_exp,diel_ref,n_exp,n_ref,polycrystalline,n_sites,n_elems,bandgap_mp,eps_electronic_mp,eps_total_mp,n_mp,diel_elec_mp,diel_total_mp,diel_total_petousis,diel_elec_petousis,diel_total_exp,series,doi,wyckoff
mp-665,SnSe2,"['P-3m1', 164]","5.42,20.91","5.18,10.22",2.92,"9.97,21.47",[1],3.07,[1],False,3,2,0.8,"[[9.7701, 1.5971e-16, 0.0], [1.5971e-16, 9.7701, 0.0], [0.0, 0.0, 4.6526]]","[[20.2725, 3.3139e-16, 0.0], [3.3139e-16, 20.2725, 0.0], [0.0, 0.0, 4.8516]]",2.8398,8.0643,15.1323,10.5833,6.86,13.8033,Petousis 2017,10.1038/sdata.2016.134,A2B_hP3_164_d_a:Se-Sn
mp-3953,CaCO3,"['R-3c', 167]","7.34,9.07","2.31,2.92",1.65,8.00 ,[2],1.56,[2],True,10,3,5.05,"[[2.9238, 7.7075e-07, 2.8043e-07], [7.7075e-07, 2.9238, 7.7705e-08], [2.8043e-07, 7.7705e-08, 2.3161]]","[[9.0009, 2.3727e-06, 8.8710e-07], [2.3727e-06, 9.0009, 2.3921e-07], [8.8710e-07, 2.3921e-07, 7.3266]]",1.6496,2.7212,8.4428,7.9167,2.5133,8.0,Petousis 2017,10.1038/sdata.2016.134,ABC3_hR30_167_a_b_e:C-Ca-O
mp-672,CdS,"['P6_3mc', 186]","9.75,10.40","6.07,6.12",2.47,"8.70,9.25",[3],2.54,[4],False,4,2,1.1162,"[[6.0495, -5.5145e-17, 0.0], [-5.5145e-17, 6.0495, 0.0], [0.0, 0.0, 6.1252]]","[[9.7578, -8.8949e-17, -1.1293e-21], [-8.8949e-17, 9.7577, -1.1293e-21], [-1.1293e-21, -1.1293e-21, 10.4314]]",2.4647,6.0748,9.9823,9.9667,6.0867,8.8833,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:Cd-S
mp-1572,GaSe,"['P-6m2', 187]","4.59,10.62","4.40,7.52",2.55,"7.55,8.62",[2],2.81,[5],False,8,2,1.2567,"[[7.5460, -1.6306e-06, 0.0], [-1.6306e-06, 7.5460, 0.0], [0.0, 0.0, 4.3912]]","[[10.6996, -2.3121e-06, 0.0], [-2.3121e-06, 10.6996, 0.0], [0.0, 0.0, 4.5760]]",2.5484,6.4944,8.6584,6.6,5.44,7.9067,Petousis 2017,10.1038/sdata.2016.134,AB_hP8_187_gh_gi:Ga-Se
mp-4431,Ag3AsS3,"['R3c', 161]","9.10,22.29","6.77,8.45",2.81,"20.85,21.10",[2],2.94,[2],False,14,3,1.4941,,,,,,13.4967,7.33,20.9333,Petousis 2017,10.1038/sdata.2016.134,A3BC3_hR42_161_b_a_b:Ag-As-S
mp-2172,AlAs,"['F-43m', 216]",11.58,9.54,3.09,10.06,[6],3.1,[6],True,2,2,1.6871,"[[9.5107, 0.0, 0.0], [0.0, 9.5107, 0.0], [0.0, 0.0, 9.5107]]","[[11.5379, 0.0, 0.0], [0.0, 11.5379, 0.0], [0.0, 0.0, 11.5379]]",3.084,9.5108,11.5379,11.58,9.54,10.06,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Al-As
mp-20194,CeO2,"['Fm-3m', 225]",31.54,7.96,2.82,26.00,[3],2.4,[7],True,3,2,1.8797,,,,,,31.54,7.96,26.0,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ce-O
mp-3731,LiNbO3,"['R3c', 161]","23.58,41.22","5.19,5.54",2.33,"26.20,64.55",[2],2.25,[2],False,10,3,3.3768,"[[5.5422, 2.5161e-08, 3.9542e-25], [2.5161e-08, 5.5422, 5.4748e-18], [3.9542e-25, 5.4748e-18, 5.1939]]","[[41.4970, 1.8839e-07, 2.9606e-24], [1.8839e-07, 41.4970, 2.8151e-16], [2.9606e-24, 2.8151e-16, 23.5837]]",2.3294,5.4262,35.5259,29.46,5.3067,38.9833,Petousis 2017,10.1038/sdata.2016.134,ABC3_hR30_161_a_a_b:Li-Nb-O
mp-361,Cu2O,"['Pn-3m', 224]",9.63,8.79,2.96,7.30 ,[8],2.55,[9],True,6,2,0.5127,"[[8.7765, -7.0980e-27, -2.7517e-22], [-7.0980e-27, 8.7743, 0.0004], [-2.7517e-22, 0.0004, 8.7743]]","[[9.6205, -5.3052e-27, -2.0567e-22], [-5.3052e-27, 9.6181, 0.0004], [-2.0567e-22, 0.0004, 9.6181]]",2.9623,8.7751,9.6189,9.63,8.79,7.3,Petousis 2017,10.1038/sdata.2016.134,A2B_cP6_224_b_a:Cu-O
mp-5246,KNbO3,"['Amm2', 38]","6.19,16.41,24.04","4.80,5.28,6.16",2.33,"39.50,98.50,890.00",[2],2.26,[10],False,5,3,2.1256,"[[5.9061, 0.0, 0.0], [0.0, 4.8014, 0.0], [0.0, 0.0, 6.1535]]","[[13.0814, 0.0, 0.0], [0.0, 16.3956, 0.0], [0.0, 0.0, 6.1539]]",2.3707,5.6204,11.8771,15.5467,5.4133,342.6667,Petousis 2017,10.1038/sdata.2016.134,ABC3_mC10_38_a_b_ae:K-Nb-O
mp-10695,ZnS,"['F-43m', 216]",9.27,5.89,2.43,8.60,[2],2.35,[11],False,2,2,2.3504,"[[5.9035, 0.0, 0.0], [0.0, 5.9035, 0.0], [0.0, 0.0, 5.9035]]","[[9.3642, 0.0, 0.0], [0.0, 9.3642, 0.0], [0.0, 0.0, 9.3642]]",2.4297,5.9036,9.3643,9.27,5.89,8.6,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:S-Zn
mp-886,Ga2O3,"['C2/m', 12]","11.27,11.39,13.75","4.08,4.18,4.20",2.04,10.05,[12],1.86,[12],True,10,2,2.0406,"[[4.0778, -4.1571e-07, 0.0212], [-4.1571e-07, 4.1704, -9.8829e-08], [0.0212, -9.8829e-08, 4.1900]]","[[11.3245, -1.1530e-06, -0.0042], [-1.1530e-06, 11.5128, -3.1837e-07], [-0.0042, -3.1837e-07, 13.8186]]",2.0362,4.1461,12.2187,12.1367,4.1533,10.05,Petousis 2017,10.1038/sdata.2016.134,A2B3_mC20_12_2i_3i:Ga-O
mp-2895,Mg2SiO4,"['Pnma', 62]","7.08,7.25,7.79","2.80,2.85,2.92",1.69,"6.74,6.87,7.39",[13],1.65,[14],False,28,3,5.1786,,,,,,7.3733,2.8567,7.0,Petousis 2017,10.1038/sdata.2016.134,A2B4C_mP28_62_ac_2cd_c:Mg-O-Si
mp-5342,GaAgS2,"['I-42d', 122]","10.29,10.50","7.12,7.20",2.67,"10.00,14.00",[2],2.25,[15],False,8,3,0.9622,"[[7.1767, 0.0, 0.0], [0.0, 7.1767, 0.0], [0.0, 0.0, 6.9662]]","[[10.3053, 0.0, 0.0], [0.0, 10.3053, 0.0], [0.0, 0.0, 10.4472]]",2.6658,7.1066,10.3526,10.36,7.1467,11.3333,Petousis 2017,10.1038/sdata.2016.134,ABC2_tI16_122_a_b_d:Ag-Ga-S
mp-408,Mg2Ge,"['Fm-3m', 225]",25.73,17.82,4.22,21.70,[16],5.0,[16],True,3,2,0.2505,,,,,,25.73,17.82,21.7,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ge-Mg
mp-315,PbF2,"['Fm-3m', 225]",33.01,3.29,1.81,28.35,[17],1.77,[18],True,3,2,4.44,"[[3.2894, -1.0983e-07, -6.6603e-07], [-1.0983e-07, 3.2894, -4.4928e-07], [-6.6603e-07, -4.4928e-07, 3.2894]]","[[33.2905, -1.1115e-06, -6.7406e-06], [-1.1115e-06, 33.2905, -4.5469e-06], [-6.7406e-06, -4.5469e-06, 33.2905]]",1.8137,3.2894,33.2905,33.01,3.29,28.35,Petousis 2017,10.1038/sdata.2016.134,A2B_cF12_225_c_a:F-Pb
mp-23251,KBr,"['Fm-3m', 225]",5.63,2.49,1.58,4.90 ,[3],1.56,[19],True,2,2,4.5151,"[[2.4929, 3.8684e-07, -1.3829e-07], [3.8684e-07, 2.4929, 2.0741e-07], [-1.3829e-07, 2.0741e-07, 2.4929]]","[[5.6790, 8.8126e-07, -3.1504e-07], [8.8126e-07, 5.6790, 4.7251e-07], [-3.1504e-07, 4.7251e-07, 5.6790]]",1.5789,2.4929,5.679,5.63,2.49,4.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Br-K
mp-22905,LiCl,"['Fm-3m', 225]",13.26,2.94,1.72,11.95,[3],1.66,[19],True,2,2,6.3951,,,,,,13.26,2.94,11.95,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Cl-Li
mp-470,GeO2,"['P4_2/mnm', 136]","11.55,17.30","4.43,4.56",2.13,"12.20,14.50",[20],2.02,[20],False,6,2,1.9072,,,,,,13.4667,4.4733,12.9667,Petousis 2017,10.1038/sdata.2016.134,AB2_tP6_136_a_f:Ge-O
