material_id,formula,spacegroup,diel_total_exp,diel_total_us,diel_total_petousis,diel_total_mp,n_sites,n_elems
mp-5986,BaTiO3,99,907.3333,223.13,11.54,11.516125873333335,5,3
mp-19717,TePb,225,414.0,85.81,335.37,379.8380929833341,2,2
mp-5246,KNbO3,38,342.6667,67.5,15.5467,11.877052596666665,5,3
mp-5229,SrTiO3,221,300.0,195.71,8.63,,5,3
mp-2201,PbSe,225,210.0,131.97,364.75,356.27721237333316,2,2
mp-21276,PbS,62,169.0,78.56,284.25,323.756270650648,8,2
mp-691,SnSe,62,49.6667,29.7,40.8267,60.68218149333334,8,2
mp-3666,LiTaO3,161,44.7667,37.04,39.2367,38.09506762305082,10,3
mp-3834,BaZrO3,221,43.0,57.46,73.02,55.249304263333336,5,3
mp-19,Te,152,39.6667,196.61,57.8933,164.2724788301944,3,1
mp-3731,LiNbO3,1,38.9833,26.94,29.46,39.9828978814679,40,3
mp-2231,SnS,62,37.3333,19.51,30.8467,48.05776800999999,8,2
mp-558134,TlF,39,35.0056,7.21,39.49,39.49443823333333,4,2
mp-23167,TlCl,221,32.7,9.3,356.49,34.575312700000005,2,2
mp-22875,TlBr,221,30.6,8.14,180.17,40.831929986666665,2,2
mp-23197,TlI,221,29.6,10.24,154.71,44.49972176000003,2,2
mp-315,PbF2,225,28.35,19.84,33.01,22.984647713360392,3,2
mp-2242,GeS,62,28.2,17.44,19.59,34.26772814,8,2
mp-700,GeSe,62,26.0333,20.35,22.46,39.52684125333333,8,2
mp-20194,CeO2,225,26.0,28.81,31.54,26.899613130149913,3,2
mp-226,FeS2,205,24.1157,26.63,28.24,28.227410893333325,12,2
mp-557,TeO2,92,23.4667,33.44,24.44,26.989876789999997,12,2
mp-4515,Ag3SbS3,161,22.7,10.85,13.21,17.16648373254485,14,3
mp-408,Mg2Ge,225,21.7,23.96,25.73,23.35028222666803,3,2
mp-4431,Ag3AsS3,161,20.9333,10.47,13.4967,14.243676775529137,14,3
mp-571102,TlI,225,20.8,7.87,21.47,17.559622350012223,2,2
mp-1367,Mg2Si,225,19.4,24.78,23.72,23.00334385666517,3,2
mp-9252,HgS,154,18.2043,8.59,12.33,12.193424429984733,6,2
mp-634,HgS,152,18.1667,8.71,12.1067,11.963143999971829,6,2
mp-1634,MoSe2,194,18.0045,11.0,11.73,11.732849360481802,6,2
mp-3163,BaSnO3,221,18.0034,24.28,22.51,22.509662690000003,5,3
