material_id,formula,spacegroup.number,diel_elec_pbe,diel_ionic_pbe,diel_total_pbe,bandgap_pbe,fom_pbe,nsites,nelements
mp-14550,TiCdO3,62,7.51,708.67,716.18,2.12,1519.88,20,3
mp-997585:La->Y,Y8Al7GaO24,221,4.69,489.88,494.57,2.83,1401.66,40,4
mp-32244:W->Mo,LiNbMoO6,113,5.76,528.3,534.07,2.19,1171.8,18,4
mp-1097026,LaGaO3,221,5.23,305.44,310.66,3.42,1061.73,5,3
mp-754225,YbTiO3,62,6.37,422.08,428.45,2.3,985.52,20,3
mp-3335,Sm2Ti2O7,227,6.13,330.78,336.91,2.82,950.62,22,3
wbm-1-40021,YbTiO3,62,6.36,386.96,393.32,2.33,916.43,20,3
mp-1226157,Cs2Ti(WO4)3,166,5.36,315.14,320.51,2.83,908.44,18,4
wbm-3-54931,Sr2LuTaO6,225,4.34,247.23,251.58,3.49,878.0,10,4
mp-556003,CaTiO3,74,6.39,383.71,390.1,2.16,842.63,10,3
mp-1202153,Na2Nb4O11,9,6.2,301.21,307.4,2.74,841.95,34,3
wbm-1-42539,La2MgZrO6,148,4.74,198.76,203.5,4.09,832.32,10,4
mp-1217978,SrPrScO4,107,4.64,223.82,228.46,3.52,803.68,7,4
mp-556925,TiMnO3,62,7.29,515.33,522.62,1.54,803.0,20,3
mp-979932:Sr->Pb,SiPb3O5,140,6.55,386.7,393.25,1.93,757.44,18,3
mp-1225952,CsNbWO6,74,5.43,248.46,253.89,2.92,741.05,18,4
wbm-1-25816,LiTaO3,167,5.41,222.92,228.33,3.21,732.94,10,3
mp-9890,TaAgO3,167,6.71,364.32,371.02,1.95,723.91,10,3
mp-754128:Ba->Ca,Ca3Hf2O7,139,4.24,198.71,202.95,3.47,704.5,12,3
mp-1219587,RbNbWO6,74,5.26,230.67,235.93,2.93,691.28,18,4
mp-1222804,LaY3Ti4O14,166,6.09,233.46,239.55,2.81,673.99,22,4
mp-1222933,LaTiNbO6,33,6.06,225.92,231.99,2.8,649.26,36,4
mp-755367:Cu->Rb,RbLiTa2O6,155,5.51,265.1,270.61,2.36,638.88,10,4
mp-4019,CaTiO3,62,6.39,256.67,263.06,2.31,606.42,20,3
wbm-1-38346,CaTiO3,62,6.39,254.32,260.72,2.32,604.86,20,3
mp-1218162,SrNd2Ti4O12,123,6.68,333.31,339.99,1.73,588.22,19,4
mp-756175,Zr2Bi2O7,227,6.53,199.67,206.19,2.8,577.88,22,3
mp-3858,NaTaO3,62,5.26,202.77,208.02,2.59,539.35,20,3
mp-755367:Cu->Ag,LiTa2AgO6,155,6.11,260.37,266.48,2.02,538.15,10,4
wbm-1-40022,YbTiO3,74,6.34,230.07,236.41,2.23,527.19,10,3
mp-1222976,LaTaBi2O7,74,6.39,261.68,268.07,1.96,526.33,22,4
mp-39511,LiCaTa2O6F,74,4.49,138.36,142.85,3.66,523.54,22,5
wbm-1-38356,CaZrO3,127,4.65,163.26,167.9,3.09,518.82,10,3
wbm-1-39241,NaTaO3,62,5.26,192.69,197.95,2.59,512.69,20,3
mp-6440,CaTiSiO5,15,4.51,170.55,175.06,2.91,509.34,16,4
wbm-3-51397,NdScO3,140,5.14,165.78,170.92,2.95,504.21,10,3
mp-1173711,Na3ErTi2Nb2O12,26,6.08,234.66,240.75,2.09,502.27,40,5
mp-559482,Ti2Bi2O7,227,8.42,180.2,188.62,2.62,494.89,22,3
mp-675778:Na->Li,LiY2F7,12,2.32,67.73,70.05,6.99,489.36,10,3
mp-1218781,Sr2La2MgTi3O12,1,5.67,232.99,238.66,1.97,470.96,20,5
mp-1220301,NbTlWO6,74,5.86,151.83,157.68,2.93,462.27,18,4
mp-755367:Cu->Na,NaLiTa2O6,155,5.32,150.15,155.47,2.96,459.77,10,4
mp-754936,DyAlO3,167,4.25,83.08,87.32,5.19,453.11,10,3
mp-1199037,NaNbO3,52,5.76,245.07,250.84,1.76,440.84,40,3
wbm-3-55347,Ba2ZrTiO6,225,5.68,191.9,197.58,2.23,440.6,10,4
wbm-2-35353,Ca2DyTaO6,87,4.46,111.34,115.8,3.79,438.87,10,4
mp-1218358,SrCaTi2O6,26,6.4,202.18,208.58,2.09,434.94,20,4
mp-38125,Sm2CdSe4,122,10.72,298.21,308.94,1.4,433.47,14,3
mp-1227686,Ca3Ta4(O6F)2,166,4.5,113.19,117.7,3.57,420.13,21,4
wbm-3-51131,Na2ZrO3,65,3.76,127.68,131.43,3.15,414.02,6,3
mp-1223520,KCa2Ta3O10,38,4.09,184.49,188.58,2.18,410.91,16,4
mp-5986,BaTiO3,99,5.63,217.5,223.13,1.78,397.34,5,3
mp-977360,AcF3,225,3.01,51.09,54.11,7.3,395.21,4,2
mp-759812,Li4Ti11O24,12,5.14,166.38,171.51,2.3,393.83,39,3
mp-769280,Ca5Ta4O15,164,4.67,126.58,131.25,2.98,390.79,24,3
mp-545665,WO3,191,6.14,313.03,319.16,1.19,380.6,12,2
mp-1518526,Sr2ZrTiO6,225,5.33,155.51,160.84,2.35,378.09,10,4
mp-1227336,BaSrTi2O6,123,6.65,205.57,212.22,1.75,371.2,10,4
mp-1227473,Ca2La2MgTi3O12,1,5.66,172.27,177.93,2.08,369.2,20,5
mp-1078457,Ba2ZrTiO6,225,5.68,156.53,162.21,2.22,359.48,10,4
wbm-1-40008,SrTiO3,99,5.96,190.5,196.47,1.8,353.64,5,3
wbm-1-38267,CaHfO3,127,4.39,91.38,95.78,3.67,351.5,10,3
mp-756214,YAlO3,167,4.25,66.01,70.27,5.0,351.15,10,3
