material_id,formula,bandgap_pred_n0,bandgap_target
wbm-4-1833,Al3 Cd3 Au3,0.0006,0.0
mp-772633,Sr6 Sc12 O24,3.8512,4.038
wbm-2-50852,V1 Cu1 Pt2,0.0005,0.0
wbm-5-20545,Si2 Ni2 Pd4,0.0006,0.0
wbm-3-65351,U4 As4 S4,0.0006,0.0
wbm-2-7047,Tl2 Rh2 Br8,0.6348,0.4
wbm-3-64321,K4 Pu2 S6,0.0006,0.0
mp-1188789,Tb4 Ga12 Fe1,0.0005,0.0
mp-1209041,Si9 Ni25,0.0006,0.0
wbm-2-20712,Pu2 Ge2,0.0006,0.0
wbm-3-14154,Ce3 Cd3 In3,0.0006,0.0
wbm-3-14839,Sc3 Ga1 Cl3,0.0005,0.0
wbm-3-66972,Sc2 Nb2 Ge6,0.0005,0.0
wbm-4-18830,Mg4 Al2 In2,0.0005,0.0
wbm-1-33824,Na1 Y2 Rh1,0.0006,0.0
wbm-1-55529,Eu4 Si1 S3,0.0005,0.0
wbm-1-14343,Eu2 Tc1 Cu1,0.0006,0.0
wbm-3-19687,Er4 Cu4 Sn2,0.0006,0.0
mp-1217763,Sr1 Zn1 Ge1,0.0006,0.0
wbm-3-77206,Eu2 Zn6,0.0006,0.0
wbm-5-16538,Sn1 P1 Rh1,0.0006,0.0
wbm-3-69354,Zr2 In1 Si2,0.0006,0.0
wbm-1-2090,Al2 Fe2 Pt2,0.0005,0.0
mp-1218291,Sr1 Eu1 Co1 O4,0.0006,0.0
wbm-4-3984,Mg2 Fe5 B4,0.0006,0.0
wbm-4-28251,Tb1 V1 P2 O8,2.2183,2.28
wbm-5-83,Lu1 Ag1 Pt2,0.0006,0.0
mp-541620,Ca2 Fe9 O13,0.0315,0.0
mp-22806,Fe2 P4 Pb1 O14,0.4314,0.0
wbm-4-27929,Tm2 Zn1 Pt1 O6,1.9263,1.92
mp-1099288,Rb1 Mg6 Co1,0.0006,0.0
wbm-1-43695,Rb1 Tl1 Mo2 O8,2.9272,2.93
wbm-4-5304,Nd2 Si2 Os2 C1,0.0006,0.0
wbm-3-59934,Tb1 Pd4,0.0006,0.0
mp-1191054,Pr2 Cd4 Cu18,0.0006,0.0
wbm-2-36767,Ca1 Mn1 P2 O8,1.0801,0.76
mp-569531,Rb8 Cu4 Br12,1.8354,2.2507
wbm-2-33766,In2 Se1 O2,-0.0008,0.0
wbm-3-66757,Cs2 Sc2 Co2 Se6,0.0005,0.0
wbm-3-58393,Nd2 Co2 P2,0.0005,0.0
wbm-1-12329,La2 Cr4,0.0006,0.0
mp-12965,Er2 Ni8 B2,0.0006,0.0
wbm-5-6011,Dy2 Hg1 Pb1,0.0006,0.0
mp-554952,Te4 Pb6 Cl4 O12,2.7647,2.6027
wbm-2-41223,Sm2 Sb2 Rh2,0.0005,0.0
wbm-3-43769,Tb3 N2,0.0005,0.0
wbm-3-40331,Mg1 Zr1 Ru4,0.0006,0.0
wbm-3-24993,Er1 Fe3 Cu2,0.0005,0.0
wbm-3-47701,Hf1 Ni2 Ir3,0.0006,0.0
wbm-4-30068,Eu1 Sn1 Pd2,0.0006,0.0
wbm-1-3609,As1 Pt7,0.0005,0.0
wbm-5-12138,Mg3 Zn3 Fe3,0.0006,0.0
wbm-3-58072,Y4 Cd2 P4,0.0007,0.0
wbm-3-33167,Er2 H2 Br2,0.0007,0.0
wbm-4-26245,Ca2 Dy1 Sb1 O6,3.6743,3.56
wbm-1-44675,La2 Au2 S2 O2,0.6633,0.47
wbm-2-9945,Yb4 Cd2 Au4,0.0006,0.0
wbm-1-30418,Ta2 Ni2 N4,0.0006,0.0
mp-1205924,Sr2 Dy1 U1 O6,0.9345,0.9196
wbm-4-18537,Li1 Hf1 Fe2 P2,0.0006,0.0
wbm-3-8042,Pr2 B4 Pt4,0.0006,0.0
wbm-5-2813,Mg1 Ga2 B1 Os2,0.0005,0.0
wbm-2-51751,Pm1 Zn5,0.0006,0.0
mp-1208807,Sr12 Sb4 I12,2.1615,1.8385
wbm-2-29903,Ca6 Sn2 S1 N1,0.0006,0.0
wbm-5-19673,Dy3 Fe3 Si2 Ir1,0.0006,0.0
mp-1208489,Ti20 Cu8,0.0006,0.0
wbm-1-22117,Eu1 In7 Pt2,0.0006,0.0
wbm-5-5739,Pr2 Cu2 Br2,0.0005,0.0
wbm-1-10867,Cu4 Se12 Cl4,1.2559,0.93
wbm-3-15379,Ti2 Cl2,0.0005,0.0
wbm-4-313,Ba2 Al4 Cu4,0.0005,0.0
wbm-1-10965,Te4 Cl4,0.8754,0.92
wbm-1-59497,V2 Re2,0.0005,0.0
wbm-4-33289,Yb2 Sb6,0.0006,0.0
wbm-3-18482,U1 Cr1 Bi1,0.0005,0.0
wbm-2-10899,Er4 In5 Co2,0.0006,0.0
wbm-4-37290,Sr1 Sm1 Au2,0.0006,0.0
mp-1209391,Rb6 Se4 O16,0.3209,0.4365
mp-1222676,Li4 Mn8 N6,0.0005,0.0
mp-11114,K2 Cu2 Pd2 Se10,0.0005,1.0364
wbm-4-13904,Pr2 Ga1 Ir2,0.0006,0.0
wbm-2-31802,Lu2 Ni4 Te6,0.0005,0.0
wbm-3-65231,V2 S10,0.0006,0.0
wbm-1-53811,Si4 Ru2,0.0006,0.0
wbm-4-19176,Mg3 Al3 Ge2 Ru1,0.0005,0.0
mp-1210689,Mg1 H6 Cl2,5.0147,1.3822
mp-1094372,Sr5 Mg1,0.0006,0.0
wbm-3-53289,Ca2 Np1 Ta1 O6,0.0006,0.0
wbm-4-19766,Th4 Mg4 In4,0.0006,0.0
mp-1207674,Tm4 P4 Pd4,0.0005,0.0
wbm-2-25620,Mg3 Ag3 Pb3,0.0006,0.0
wbm-2-5910,Th2 Mn2 B2 C2,0.0005,0.0
wbm-1-54567,Co3 Si1,0.0005,0.0
wbm-1-33091,Na1 Tl2 Cr1,0.0005,0.0
wbm-1-32960,Cs2 Na1 Ho1 Br6,4.3886,4.38
wbm-3-67204,Sc1 Os8,0.0006,0.0
wbm-1-23932,Li2 Dy1 P2,0.0006,0.0
wbm-2-1657,Eu3 Al3 Zn1 Ge2,0.0005,0.0
mp-1521635,K1 Sr1 Tb1 Bi1 O6,0.0006,0.0
wbm-3-9397,In2 Co2 B2 N2,0.0005,0.0
wbm-4-32589,Ba2 Pu2 Fe2 S6,0.0006,0.0
wbm-1-60444,Hf3 Zn9,0.0005,0.0
wbm-4-34417,Rb2 Ho2 Au2 Se6,0.0005,0.0
wbm-2-16061,Np1 Pd1 F6,0.0006,0.0
wbm-1-14808,Ce1 F3,0.0006,0.29
wbm-2-49833,La6 Te2 Pt1,0.0006,0.0
mp-1193890,Mn8 Si2 Te2 Cl4 O14,2.6528,2.5326
mp-1246359,Li12 Se2 N8,2.2339,2.5079
