material_id,formula,wyckoff,bandgap_pred_n0,bandgap_ale_n0,bandgap_target
mp-1019544,Ba2 Zr2 O6,AB3C_pearson_140_b_ah_c:Ba-O-Zr,3.1726,0.0591,3.1177
mp-1020609,Zn8 Si4 O16,A4BC2_pearson_62_2cd_c_ac:O-Si-Zn,2.4595,0.2013,2.5428
wbm-1-42496,Yb2 Mg1 Sn1 O6,AB6CD2_pearson_2_a_3i_e_i:Mg-O-Sn-Yb,3.0284,0.1699,0.38
mp-562726,Cs4 Ga4 S12,ABC3_pearson_14_e_e_3e:Cs-Ga-S,2.3916,0.1136,2.4892
mp-1191970,Na2 B6 H16,A3B8C_pearson_59_ae_efg_b:B-H-Na,5.7336,0.6129,5.4377
mp-1120742,S6 N4,A2B3_pearson_31_b_ab:N-S,1.9661,0.1146,1.9798
wbm-3-55872,Sc2 P2 O7,A7B2C2_pearson_12_aij_i_h:O-P-Sc,0.8735,0.3793,0.42
wbm-1-40146,Y4 Dy4 O12,AB3C_pearson_62_c_cd_a:Dy-O-Y,4.4661,0.0772,4.33
mp-1221670,Mn1 Cd1 Hg1 Te3,ABCD3_pearson_8_a_a_a_3a:Cd-Hg-Mn-Te,0.0454,0.0198,0.0405
wbm-3-51727,Ba1 Bi2 O4,AB2C4_pearson_166_a_c_2c:Ba-Bi-O,2.7774,0.0923,2.57
wbm-3-68287,Ho4 Sb4 Se4,ABC_pearson_62_c_c_c:Ho-Sb-Se,0.3151,0.0405,0.31
mp-1204740,Te2 As2 Xe2 O4 F22,AB11C2DE_pearson_2_i_11i_2i_i_i:As-F-O-Te-Xe,2.5345,0.1908,1.4973
mp-1209460,Rb4 Mo2 O4 F8,A4BC2D2_pearson_36_2ab_a_b_2a:F-Mo-O-Rb,3.6475,0.1394,3.6147
wbm-4-11144,Sm1 Dy1 F6,AB6C_pearson_225_a_e_b:Dy-F-Sm,6.9211,0.1188,7.05
mp-758471,Li4 Co4 Si4 O16,ABC4D_pearson_63_a_c_fg_c:Co-Li-O-Si,1.1961,0.1606,0.8752
wbm-3-51550,Tm1 Lu1 O3,AB3C_pearson_99_a_ac_b:Lu-O-Tm,2.2608,0.2277,2.19
