material_id,formula,wyckoff,bandgap_pred_n0,bandgap_target
mp-1019544,Ba2 Zr2 O6,AB3C_pearson_140_b_ah_c:Ba-O-Zr,3.1464,3.1177
mp-1020609,Zn8 Si4 O16,A4BC2_pearson_62_2cd_c_ac:O-Si-Zn,2.3458,2.5428
wbm-1-42496,Yb2 Mg1 Sn1 O6,AB6CD2_pearson_2_a_3i_e_i:Mg-O-Sn-Yb,2.3772,0.38
mp-562726,Cs4 Ga4 S12,ABC3_pearson_14_e_e_3e:Cs-Ga-S,2.1645,2.4892
mp-1191970,Na2 B6 H16,A3B8C_pearson_59_ae_efg_b:B-H-Na,5.9623,5.4377
mp-1120742,S6 N4,A2B3_pearson_31_b_ab:N-S,2.1329,1.9798
wbm-3-55872,Sc2 P2 O7,A7B2C2_pearson_12_aij_i_h:O-P-Sc,0.2417,0.42
wbm-1-40146,Y4 Dy4 O12,AB3C_pearson_62_c_cd_a:Dy-O-Y,4.4295,4.33
mp-1221670,Mn1 Cd1 Hg1 Te3,ABCD3_pearson_8_a_a_a_3a:Cd-Hg-Mn-Te,0.0285,0.0405
wbm-3-51727,Ba1 Bi2 O4,AB2C4_pearson_166_a_c_2c:Ba-Bi-O,2.2714,2.57
wbm-3-68287,Ho4 Sb4 Se4,ABC_pearson_62_c_c_c:Ho-Sb-Se,0.3308,0.31
mp-1204740,Te2 As2 Xe2 O4 F22,AB11C2DE_pearson_2_i_11i_2i_i_i:As-F-O-Te-Xe,2.4125,1.4973
mp-1209460,Rb4 Mo2 O4 F8,A4BC2D2_pearson_36_2ab_a_b_2a:F-Mo-O-Rb,2.6541,3.6147
wbm-4-11144,Sm1 Dy1 F6,AB6C_pearson_225_a_e_b:Dy-F-Sm,6.8418,7.05
mp-758471,Li4 Co4 Si4 O16,ABC4D_pearson_63_a_c_fg_c:Co-Li-O-Si,1.2395,0.8752
wbm-3-51550,Tm1 Lu1 O3,AB3C_pearson_99_a_ac_b:Lu-O-Tm,2.2401,2.19
mp-568146,Pd1 Se6 Br2,A2BC6_pearson_2_i_a_3i:Br-Pd-Se,0.9078,1.1012
wbm-1-43645,Ba1 Hf1 P2 O8,ABC8D2_pearson_164_a_b_di_d:Ba-Hf-O-P,4.1142,4.52
mp-744322,Cr2 H16 N4 O8,AB8C2D4_pearson_12_i_4i2j_2i_2ij:Cr-H-N-O,2.7831,2.9878
mp-769014,Ho4 Se6 O18,A2B9C3_pearson_2_2i_9i_3i:Ho-O-Se,3.833,3.9092
mp-763440,Li16 Mn2 O8 F4,A2B8CD4_pearson_2_2i_8i_be_4i:F-Li-Mn-O,3.0391,2.6846
mp-1019541,Ba1 Ca3 O4,AB3C4_pearson_221_a_c_bd:Ba-Ca-O,2.719,2.3351
wbm-3-22071,Y2 Cu2 F8,AB4C_pearson_2_ae_4i_i:Cu-F-Y,1.268,1.34
mp-1173649,Na1 Ni2 H3 S2 O10,A3BC2D10E2_pearson_12_ai_c_e_3ij_i:H-Na-Ni-O-S,3.7537,4.1079
mp-510305,Mn4 V4 Sb4 O24,AB6CD_pearson_60_c_3d_c_c:Mn-O-Sb-V,0.9708,0.692
wbm-1-49653,La12 In12 S36,ABC3_pearson_14_3e_3e_9e:In-La-S,1.7241,1.96
wbm-3-59206,Sm4 P4 Se4,ABC_pearson_62_c_c_c:P-Se-Sm,0.1398,0.15
mp-1517147,Ca2 Nd2 Eu2 Sb2 O12,ABCD6E_pearson_118_c_d_a_ei_b:Ca-Eu-Nd-O-Sb,0.0747,0.0111
wbm-2-15636,K2 U1 F6,A6B2C_pearson_164_i_d_a:F-K-U,0.0905,0.25
mp-1210130,Ni2 I4 O20,A2BC10_pearson_14_e_a_5e:I-Ni-O,1.5101,0.0084
mp-1210959,Li2 Gd2 Mo4 O16,ABC2D8_pearson_13_e_f_g_4g:Gd-Li-Mo-O,2.7407,2.9784
wbm-1-42266,La2 Fe1 Ge1 O6,ABC2D6_pearson_148_a_b_c_f:Fe-Ge-La-O,2.6019,2.76
mp-676749,Li2 U1 Cl6,A6B2C_pearson_162_k_c_b:Cl-Li-U,0.2105,0.1957
wbm-3-56152,Sr1 Th1 As2 O8,A2B8CD_pearson_5_c_4c_a_b:As-O-Sr-Th,3.7324,3.79
wbm-3-22205,K2 Sb1 F5,A5B2C_pearson_8_a2b_2a_a:F-K-Sb,4.2213,4.59
mp-765195,W2 O4 F2,AB2C_pearson_15_e_f_c:F-O-W,0.1643,1.6563
mp-768747,Li14 Bi2 B4 O16,A2BC7D8_pearson_12_2i_i_ab2i2j_4i2j:B-Bi-Li-O,3.4755,2.3887
mp-770286,Li6 Sn2 B4 O12,A2B3C6D_pearson_2_2i_3i_6i_i:B-Li-O-Sn,2.6405,1.7387
mp-1195744,Ba2 Er4 Si6 O20,AB2C10D3_pearson_11_e_f_2e4f_ef:Ba-Er-O-Si,4.6936,4.8348
