material_id,formula,bandgap_pred_n0
mp-849636,SrMg2TaN,0.0006
mp-1207720,YMg12Cl3,0.0006
mp-755367,Ta2CuIO6,0.6829
mp-1216759,TlMoF4,1.9835
mp-20056,MgGa2WO6,2.102
wbm-1-16558,RbCu7Bi2,0.0006
mp-1102291,Rb3TaO7,0.0006
wbm-1-10013,Sc3GaPb,0.0006
mp-30997,ZrAl5Tl,0.0006
mp-757158,LiMg8Ta3,0.0006
mp-20337,ZrAs3Pb,0.0006
mp-1105280,LiMg3Ta,0.0006
mp-770380,Mg9Ta3In,0.0006
mp-1194961,Mg8NbTlV2,0.0006
mp-20222,Sr2Mg6NbIn,0.0005
mp-755266,Ti3(BiO2)4,1.8899
wbm-3-53275,Ca2ScNbAl6,0.0006
mp-1208608,Mg5TaAs,0.0006
mp-27891,Rh2SO2,0.0006
mp-754711,Mo2Pb2O7,0.7828
mp-16837,Nb3Al8Ag,0.0006
mp-9783,Ba3(Mg4As)2,0.0005
mp-559154,Mg11(Ti2Bi)2,0.0005
mp-1217801,SrMg12TiNb2Bi2Pb,0.0006
mp-1212147,Ca7HfTlCd,0.0006
mp-1216041,Rb2YTaO7,0.0006
mp-1206631,Mg6NiPb2W,0.0005
mp-1220040,OsPb3F5,0.0006
mp-20589,TcO3,3.2373
wbm-1-25817,TiSbO3,0.0005
wbm-3-30856,Y3TlGe,0.0006
mp-779517,Sr3Hf2Mg7,0.0006
wbm-3-55140,Sr2YMg6Ta,0.0005
wbm-1-32615,Na2Mg4GePb,0.0006
mp-23074,MgBiO,0.0006
mp-1183152,RbScO3,0.0007
mp-1095833,Tl2HgCl,1.2848
mp-1228349,Ba3Ca15HfNb4,0.0005
mp-558356,Na2Al7CrNi,0.0006
mp-504591,TcPbO4,2.0564
mp-774797,Li2Ti3Al8Zn,0.0005
mp-754550,TaRu3O7,0.0005
mp-5449,Na2Mg13Ti6,0.0006
wbm-3-54886,Sr2TaAuO6,0.9989
mp-557163,Mg7TaPb,0.0006
mp-780772,Mg5Ta2,0.0006
mp-1244761,Mg5V2,0.0005
mp-776018,SrMg3Ti,0.0005
wbm-1-39180,Na2ZrCl3,0.0006
wbm-1-42055,Ca2TaGaSb6,0.0005
mp-769333,Na9(Ca2Ta)2,0.0006
mp-1223364,KNa(Mg3Nb)2,0.0006
mp-6478,LiTaTc5Ge,0.0005
mp-21896,Na2Mg7W2,0.0005
mp-1208846,CoSi2As2O7,3.2526
mp-1188841,Nb2V2MoO11,1.0519
mp-1218012,Mg6TaFePb2,0.0006
mp-14873,K4Mg34Nb8SiP4,0.1751
mp-14482,Sr(Nb3Al8)2,0.0006
mp-1212176,HfMn5Tl,0.0006
