material_id,formula,diel_elec_pred_n0,diel_elec_ale_n0
scn-0,SrMg2TaN,15.4826,0.6402
scn-1,YMg12Cl3,7.8975,0.1967
scn-2,Ta2CuIO6,7.0268,0.2347
scn-3,TlMoF4,3.112,0.105
scn-4,MgGa2WO6,4.6912,0.1008
scn-5,RbCu7Bi2,22.419,1.4797
scn-6,Rb3TaO7,3.3183,0.0775
scn-7,Sc3GaPb,21.3713,0.7455
scn-8,ZrAl5Tl,20.7105,0.8231
scn-9,LiMg8Ta3,29.0254,0.9671
scn-10,ZrAs3Pb,15.2147,0.4253
scn-11,LiMg3Ta,28.1055,0.8511
scn-12,Mg9Ta3In,27.4946,0.8726
scn-13,Mg8NbTlV2,29.1887,0.6858
scn-14,Sr2Mg6NbIn,27.2614,0.8562
scn-15,Ti3(BiO2)4,6.9832,0.1353
scn-16,Ca2ScNbAl6,21.5849,0.6434
scn-17,Mg5TaAs,20.395,0.7473
scn-18,Rh2SO2,9.6819,0.3874
scn-19,Mo2Pb2O7,7.9718,0.3648
scn-20,Nb3Al8Ag,23.025,0.8401
scn-21,Ba3(Mg4As)2,19.136,0.5263
scn-22,Mg11(Ti2Bi)2,21.5001,1.024
scn-23,SrMg12TiNb2Bi2Pb,24.3898,0.894
scn-24,Ca7HfTlCd,20.475,0.4234
scn-25,Rb2YTaO7,3.8352,0.0804
scn-26,Mg6NiPb2W,22.8489,0.6416
scn-27,OsPb3F5,5.0591,0.1452
scn-28,TcO3,8.7725,1.236
scn-29,TiSbO3,6.0429,0.1207
scn-30,Y3TlGe,19.1412,0.5898
scn-31,Sr3Hf2Mg7,26.7416,1.1477
scn-32,Sr2YMg6Ta,27.9513,0.7906
scn-33,Na2Mg4GePb,16.9545,0.4708
scn-34,MgBiO,8.4422,0.1892
scn-35,RbScO3,4.8571,0.1352
scn-36,Tl2HgCl,7.0952,0.168
scn-37,Ba3Ca15HfNb4,33.1292,2.5853
scn-38,Na2Al7CrNi,14.5683,0.4208
scn-39,TcPbO4,7.1094,0.2538
scn-40,Li2Ti3Al8Zn,19.7579,0.7423
scn-41,TaRu3O7,7.8405,0.2021
scn-42,Na2Mg13Ti6,28.7267,0.7942
scn-43,Sr2TaAuO6,4.9909,0.1142
