material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-0,SrMg2TaN,9.86,0.2988
scn-1,YMg12Cl3,10.3418,0.4286
scn-2,Ta2CuIO6,114.5662,11.668
scn-3,TlMoF4,20.588,1.1982
scn-4,MgGa2WO6,14.8934,0.7493
scn-5,RbCu7Bi2,3.726,0.2628
scn-6,Rb3TaO7,16.604,0.7073
scn-7,Sc3GaPb,12.4656,0.4098
scn-8,ZrAl5Tl,14.4394,0.724
scn-9,LiMg8Ta3,8.9525,0.5599
scn-10,ZrAs3Pb,26.5178,1.6569
scn-11,LiMg3Ta,12.8664,0.6233
scn-12,Mg9Ta3In,10.4937,0.7072
scn-13,Mg8NbTlV2,13.3643,0.7876
scn-14,Sr2Mg6NbIn,21.094,1.0192
scn-15,Ti3(BiO2)4,37.7296,2.123
scn-16,Ca2ScNbAl6,11.6926,0.3772
scn-17,Mg5TaAs,15.5286,0.9617
scn-18,Rh2SO2,9.8742,0.8178
scn-19,Mo2Pb2O7,42.0668,3.686
scn-20,Nb3Al8Ag,13.1733,0.4305
scn-21,Ba3(Mg4As)2,8.906,0.2453
scn-22,Mg11(Ti2Bi)2,7.2104,0.2661
scn-23,SrMg12TiNb2Bi2Pb,9.2046,0.4312
scn-24,Ca7HfTlCd,13.1945,0.352
scn-25,Rb2YTaO7,12.1197,0.9526
scn-26,Mg6NiPb2W,16.2214,0.7509
scn-27,OsPb3F5,12.3439,0.4512
scn-28,TcO3,6.7354,0.2382
scn-29,TiSbO3,13.063,1.0721
scn-30,Y3TlGe,12.0995,0.2986
scn-31,Sr3Hf2Mg7,15.0851,0.6129
scn-32,Sr2YMg6Ta,13.4444,0.555
scn-33,Na2Mg4GePb,10.2134,0.4033
scn-34,MgBiO,36.0193,4.4652
scn-35,RbScO3,18.5472,0.6956
scn-36,Tl2HgCl,24.1334,1.4037
scn-37,Ba3Ca15HfNb4,9.1504,0.3456
scn-38,Na2Al7CrNi,10.8331,0.336
scn-39,TcPbO4,19.13,0.8814
scn-40,Li2Ti3Al8Zn,12.3983,0.5344
scn-41,TaRu3O7,13.1859,0.5971
scn-42,Na2Mg13Ti6,10.7078,0.4836
scn-43,Sr2TaAuO6,62.1337,2.9705
scn-44,Mg7TaPb,5.3176,0.3126
scn-45,Mg5Ta2,8.2829,0.3603
scn-46,Mg5V2,18.9124,1.5832
scn-47,SrMg3Ti,12.8402,0.6961
scn-48,Na2ZrCl3,8.3025,0.3108
scn-49,Ca2TaGaSb6,15.2116,1.124
scn-50,Na9(Ca2Ta)2,10.2452,0.3749
scn-51,KNa(Mg3Nb)2,7.0274,0.4146
scn-52,LiTaTc5Ge,17.4449,1.8008
scn-53,Na2Mg7W2,11.55,0.8524
scn-54,CoSi2As2O7,5.2309,0.322
scn-55,Nb2V2MoO11,61.1443,2.6767
scn-56,Mg6TaFePb2,19.2578,0.7933
scn-57,K4Mg34Nb8SiP4,8.7276,0.5561
scn-58,Sr(Nb3Al8)2,9.5777,0.495
scn-59,HfMn5Tl,18.3214,0.7549
scn-60,Tl3BrF6,34.619,4.7363
scn-61,TaOsNO2,20.2657,0.9203
scn-62,CsRb2YAl6,4.1169,0.2328
scn-63,Mg4Sb3I,11.9736,0.5528
scn-64,Hf4GeTe7,7.9308,0.2817
scn-65,AlNiN2F7,8.5551,0.3417
scn-66,K2CaMg7Ta2,11.8766,0.5782
scn-67,Mg13(NbSb)3,9.3434,0.2924
scn-68,CaMg7Ti3,14.025,0.6066
scn-69,Al5Tl,18.3756,1.8517
scn-70,KNb5Pb2,16.1665,1.0912
scn-71,Ba3YNb4O15,49.1678,2.8774
scn-72,Sr4Mg9Ta2,20.4891,1.1585
scn-73,Ca(Mg3Nb)2,13.2633,0.5863
scn-74,K4Ga5O12,6.6623,0.3143
scn-75,Cs2LiSc6In,7.5759,0.2561
scn-76,Ca5TaNb,13.9499,0.6592
scn-77,CsY3Pb,15.9034,0.5536
scn-78,Mg3ScAl,16.3767,0.6551
scn-79,Li2MgO8F3,4.6962,0.3047
scn-80,Rb2Ba5Cl2O9,9.4354,0.3705
scn-81,RhBrF3,2.5373,0.2291
scn-82,KMg13Nb4As,11.567,0.7804
scn-83,Mg6Ti2Cd,10.4491,0.3828
scn-84,Li2Mg5Ti2,11.7686,0.3954
scn-85,CaY3Tl,13.9048,0.4466
scn-86,KCa2Ta3Al10,11.032,0.6067
scn-87,MgSc12Ti(NbPb2)2,10.7174,0.6352
scn-88,Ba2TaOsO6,28.2588,1.4972
scn-89,RbAl7Tl2,15.2848,0.8973
scn-90,KNaMg5NbO,11.9471,0.5689
scn-91,K3B2(SbO4)3,5.4479,0.195
scn-92,LiRhO3,2.4427,0.5694
scn-93,Ba2SbO4,25.9805,1.3579
scn-94,Mg8Pb5I2,8.5226,0.391
scn-95,CaTlS3,13.6795,4.9611
scn-96,KY3Al10,8.4457,0.2085
scn-97,RbTl5Cl4,38.5582,4.1932
scn-98,Ca2TlAs,10.4287,0.1915
scn-99,Sr5Mg19Ti7,8.8459,0.381
scn-100,Na15Sr5Ta4,6.7113,0.8938
scn-101,Sc2NbF,12.2124,0.5241
scn-102,Sr7TaBi3,8.35,0.2918
scn-103,TlSnCl4,51.192,5.5761
scn-104,Rb3TaO7,8.9624,0.3098
scn-105,Al3TlGe,13.4675,0.7457
scn-106,BaLi2Mg7Ta2,17.378,0.6687
scn-107,Mg6Ta2Sn,9.7151,0.2586
scn-108,Li2Mg6O13,5.2361,0.3703
scn-109,Ba(Po3O8)2,10.0273,0.3837
scn-110,Fr2TaGaO6,17.4836,1.091
scn-111,Ba3ZrTa4Mo15,20.5502,2.879
scn-112,Mg6Nb2Zn,12.9116,0.6909
scn-113,ScSb(ClO3)2,14.8132,1.3167
scn-114,Ba3Mg7Zr2,16.0489,0.8008
scn-115,Ca2Mg6TaAl,17.6033,0.6569
scn-116,KNa(Hf3Nb)2,6.3762,0.5104
scn-117,NaTi2CdO6F,37.1907,9.1075
scn-118,Sr(Mg2Al)2,11.1671,0.3767
scn-119,SrSbI,7.3149,0.2216
