material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-1175245,Li7Mn4CoO12,13.3073,0.9362,0.0
mp-1177583,Li3MnV(PO4)3,5.238,0.8587,0.0
mp-1178981,YbPS4,7.5263,0.3168,0.0
mp-541766,Rb3InP2,5.342,0.1714,0.0
mp-850909,Li3Mn2(PO4)3,10.1332,2.6333,0.0
mp-753301,Na4(NiO2)5,6.2218,0.2602,0.0
mp-1075930,LaSm(CoO3)2,20.5252,1.2432,0.0
mp-1305214,LiCr(CoO3)2,12.2254,0.9801,0.0
mp-1030459,Te2Mo2SeS,10.4381,0.8732,0.0
mp-1239165,TaCr3(AgS4)2,8.5933,1.1102,0.0
mp-1642086,Li4FeTe(WO6)2,28.411,5.2389,0.0
mp-1213048,ErAsSe,7.846,0.229,0.0
mp-15077,Ag7AsS6,6.8387,0.405,0.0
mp-23581,Cr3B7BrO13,4.4824,0.5097,0.0
mp-28079,Na2Mn2S3,6.9374,0.4118,0.0
mp-1517132,Eu2ZrSnO6,27.0103,1.4023,0.0
mp-1222546,LiCuSbO4,11.3918,0.9751,0.0
mp-758346,LiMn3Al2(HO2)6,5.3221,0.271,0.0
mp-1299651,LiMn3O4,9.8952,0.3458,0.0
mp-1227939,BaLa3(NiO4)2,16.258,0.6475,0.0
mp-1026910,MoW(SeS)2,8.0386,3.6915,0.0
mp-1208663,SrP2PdO7,5.3018,0.2236,0.0
mp-776449,Li2MnVP2(O4F)2,7.2467,0.5028,0.0
mp-777467,LiMn2(BO3)2,5.3661,0.3241,0.0
mp-759050,Li6FeCo9O20,6.9238,0.262,0.0
mp-23108,Cs2NaUCl6,6.0893,0.2178,0.0
mvc-13145,Zn3Cu2(AsO4)4,11.994,0.913,0.0
mp-1028826,Te6MoW3S2,1.1238,0.6902,0.0
mp-1175647,Li9Mn2Co5O16,7.8038,0.3631,0.0
mp-1274653,La2MgCoO6,14.2532,0.605,0.0
mp-567596,In6Se7,5.7006,0.219,0.0
mp-1172871,Mn7GeO12,6.9769,0.3815,0.0
mp-560341,EuSi2(NO)2,9.237,0.6084,0.0
mp-764005,Li4TiV3O8,15.9142,1.6321,0.0
mp-504636,K2MnO4,6.3155,0.2371,0.0
mp-1239175,TaCr3(AgS4)2,4.027,0.3347,0.0
mp-756380,Li4Ti3Mn3(WO8)2,21.9219,1.6297,0.0
mp-574651,CsSmMnSe3,6.9044,0.2238,0.0
mvc-8337,Cu3(MoO3)4,4.6162,0.2444,0.0
mp-560786,Nd10S19,10.7225,0.4745,0.0
mp-1175422,Li9Mn2Co5O16,6.9103,0.2743,0.0
mp-865424,CsUO3,17.0607,1.4261,0.0
mp-774323,Li4MnV3(P2O7)4,5.1672,0.7466,0.0
mp-1277566,CaLa3(CoO4)2,13.4416,0.5337,0.0
mp-1225204,Fe3(Se2S)2,5.0143,0.2549,0.0
mp-863292,Na3VP2O9,4.3578,0.3399,0.0
mp-1191858,Tl4CuTeO6,16.8038,1.6741,0.0
mp-1175994,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-760077,MnFeCo(PO4)3,11.1233,0.7316,0.0
mp-1193782,Mn5VO8,7.972,0.317,0.0
mp-706231,NaSr9Fe5(MoO6)5,15.7326,1.128,0.0
mp-3927,CaAsAu,12.1424,0.3852,0.0
mp-760774,Li2Ni3SnO8,7.0721,0.3889,0.0
mp-1213648,CsTmMnSe3,6.9339,0.2578,0.0
mp-755025,VCu(PO4)2,6.2358,0.5525,0.0
mp-1228079,Ba3Sr(SnO3)4,15.5076,0.8177,0.0
mp-6389,NaLa2RuO6,16.1024,0.7864,0.0
mp-24528,CrH8C4(S2N3)2,2.1205,0.3266,0.0
mp-1095273,BaGdCuTe3,9.3193,0.1715,0.0
mp-778508,Li3MnV(PO4)3,5.238,0.8587,0.0
mp-767065,LiMn3F10,3.8538,0.1765,0.0
mp-1176824,Li9V8F48,6.1151,0.695,0.0
mp-1209530,Rb2UBr5,8.1905,0.356,0.0
mp-1147563,Sr4Fe3ClO8,15.6726,0.777,0.0
mp-1227239,Ca5P3O13,9.3221,0.3851,0.0
mp-1304218,Li3MgNi3O8,11.9161,1.6214,0.0
mp-1215816,Zn2InCuSe4,3.2739,0.1452,0.0
mp-715474,MoO3,43.5044,113.109,0.0
mp-1176597,LiV2(SO4)3,11.5963,4.1672,0.0
mp-762538,Mn13Fe11O32,7.6199,0.2915,0.0
mp-1205859,KRb2PdF6,5.8025,0.2035,0.0
mp-1214463,BaMnO4,7.1078,0.2595,0.0
mp-1177464,Li4Mn3Fe3(PO4)6,6.2468,0.5545,0.0
mp-1100502,Li9Mn7O16,13.4268,0.7831,0.0
mp-753705,LiMn3(O2F)2,6.4728,0.3039,0.0
mp-779209,Li4Nb3Fe3(TeO8)2,17.2975,1.1255,0.0
mp-1224536,In6Sn8S19,18.8844,1.4623,0.0
mp-15081,Sm2Se3,10.3456,0.3008,0.0
mp-1222046,MgFe4CuO8,7.542,0.3319,0.0
mp-753135,CrH10S2(NO2)4,4.146,0.4538,0.0
mp-1203182,NdCrO5,7.5826,0.3473,0.0
mp-758700,LiMn2O4,5.8698,0.3752,0.0
mp-755715,TiV3O8,21.3354,1.9794,0.0
mp-1221502,MnZnS2,8.6788,0.7557,0.0
mp-1256014,KAl2P2H4O11,3.8675,0.2777,0.0
mp-541023,CaFe3Si2HO9,7.4791,0.4119,0.0
mp-1178157,K(WO3)3,33.0051,8.5361,0.0
mp-558179,Fe3BO5,8.4875,0.5105,0.0
mp-763519,Li4Mn3Nb2Co3O16,12.1049,1.0654,0.0
mp-1175034,Li7Mn2(CoO4)3,7.5881,0.7147,0.0
mp-540841,U2NiO6,24.4024,1.3958,0.0
mp-767137,Li3Sb17S27,26.3172,2.7611,0.0
mp-753623,Li2Cu4S3,8.8618,0.5731,0.0
mp-996987,LiCuO2,5.7816,0.1899,0.0
mp-29259,Bi2PdO4,13.1891,0.8776,0.0
mp-754242,LiFe2(PO4)2,9.675,0.8105,0.0
mp-11775,RbUO3,15.0054,0.8241,0.0
mp-758761,Li3Mn2(CO3)4,5.9207,0.6188,0.0
mp-1173369,Pr2EuSe4,13.683,0.5449,0.0
mp-863766,Fe32O35,16.0716,2.7855,0.0
mp-1029069,MoW(SeS)2,8.0386,3.6915,0.0
mp-1174293,Li7Co5O12,7.6107,0.4571,0.0
mp-758415,LiCuPO4,4.9856,0.2085,0.0
mp-1209458,Sm2Sn3(PbS4)3,30.314,2.4201,0.0
mp-1190952,TbPS,9.5464,0.4177,0.0
mp-36600,Ag3SBr,7.5221,0.4771,0.0
mp-1018033,AgRhO2,4.1989,0.216,0.0
mp-1175803,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1103098,BiRhS,9.362,0.3074,0.0
mp-504357,Cr4(PO4)3,5.8865,0.2707,0.0
mp-634977,Cs3Fe2Cl9,4.2303,0.3177,0.0
mp-1100861,V16Bi3O32,18.597,1.4119,0.0
mp-1216113,Y4MnS7,9.5839,0.3879,0.0
mp-29582,Li2CrCl4,5.2124,0.3792,0.0
mp-1188648,Y6NiBr10,4.7887,0.2314,0.0
mp-572807,NdCu3Se2ClO8,9.2815,0.6475,0.0
mp-1315204,Li5Ti2V3O10,19.6449,1.1124,0.0
mp-1096549,SiGe,1.3215,0.4111,0.0
mp-21390,La2InCuSe5,10.3137,0.263,0.0
mp-567322,KSm2Sb3Se8,21.7927,1.3663,0.0
mp-29394,Gd2CCl2,6.5381,0.7769,0.0
mp-1173916,Li2MnCoO4,6.7162,0.2345,0.0
mp-36884,Mn2SnO4,6.337,0.2105,0.0
mp-759279,Li9Cr4(BO3)8,4.694,0.2733,0.0
mp-776297,Li4Ti5Co3O16,15.071,1.0722,0.0
mp-698206,Ba5Re3O16,23.8446,2.4595,0.0
mp-1214391,BaNpO4,18.3168,0.8481,0.0
mp-1177602,Li3MnV(PO4)3,5.238,0.8587,0.0
mvc-10396,BaCaAgF7,6.4829,0.4782,0.0
mp-1205761,K2PdBr6,11.2208,0.8334,0.0
mp-761163,Na2(NiO2)7,6.6809,0.4445,0.0
mp-561375,Pr10S19,10.8034,0.4483,0.0
mp-530444,MgMn2O4,7.239,0.2577,0.0
mp-752796,Li4Ti2Mn3O10,14.8051,0.8514,0.0
mp-1202554,K3(TcCl4)2,4.6132,0.2498,0.0
mp-752894,Li3Co2(SiO4)2,6.2313,0.3963,0.0
mp-771669,Li5Mn5O12,8.1861,0.4181,0.0
mp-1173299,Sm2EuSe4,15.2752,0.5844,0.0
mp-1112655,Cs3CeCl6,7.1198,0.3066,0.0
mp-556560,MnF3,3.6615,0.1884,0.0
mp-1260750,MgCu(SiO3)2,4.9511,0.2582,0.0
mvc-6329,Ca(CuO2)2,5.9178,0.1721,0.0
mp-710070,K5Ce2H2S6O25,5.347,0.2541,0.0
mp-996997,LiAgO2,4.1995,0.2864,0.0
mp-1213063,CsTbMnSe3,6.8195,0.2299,0.0
mp-1176188,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1030447,Te3Mo2Se,9.0547,1.0132,0.0
mp-867323,Pr3MnAlS7,14.9867,0.6223,0.0
mp-1206719,NdNiBi,2.6859,0.2144,0.0
mp-531804,Li9Mn15O32,5.9779,0.3858,0.0
mp-1219319,Sm2CoNiO6,10.7715,0.3857,0.0
mp-776451,Li2MnVP2(HO5)2,6.1214,0.5652,0.0
mp-628773,SnSe,16.4628,0.776,0.0
mp-755519,Li3MnCr3O8,11.038,0.6526,0.0
mp-755672,Li4Ni5SnO12,7.3136,0.6833,0.0
mp-1224839,Ga2HgTe4,4.5589,0.2149,0.0
mp-1213649,CsHoMnSe3,6.8259,0.2373,0.0
mp-616255,In2Sn3S7,26.7934,4.1412,0.0
mp-1190046,Sb2Au(XeF6)2,2.6348,0.1926,0.0
mp-777608,V6O7F5,9.2736,0.7001,0.0
mp-1199033,K2TcCl5O,5.1486,0.1997,0.0
mp-1640232,Li7Mn4CoO12,8.6574,0.4315,0.0
