material_id,formula,diel_total_pred_n0,diel_total_ale_n0,diel_total_target
mp-1175245,Li7Mn4CoO12,19.5987,5.2661,0.0
mp-1177583,Li3MnV(PO4)3,9.5571,1.0773,0.0
mp-1178981,YbPS4,9.1659,0.2852,0.0
mp-541766,Rb3InP2,12.9008,0.2655,0.0
mp-850909,Li3Mn2(PO4)3,12.803,2.6007,0.0
mp-753301,Na4(NiO2)5,15.3807,1.1548,0.0
mp-1075930,LaSm(CoO3)2,25.2094,1.1302,0.0
mp-1305214,LiCr(CoO3)2,13.958,2.9788,0.0
mp-1030459,Te2Mo2SeS,15.3365,1.6088,0.0
mp-1239165,TaCr3(AgS4)2,16.2261,0.7032,0.0
mp-1642086,Li4FeTe(WO6)2,44.5344,6.4979,0.0
mp-1213048,ErAsSe,20.728,0.4144,0.0
mp-15077,Ag7AsS6,14.132,0.3971,0.0
mp-23581,Cr3B7BrO13,7.0388,2.059,0.0
mp-28079,Na2Mn2S3,11.2047,0.3075,0.0
mp-1517132,Eu2ZrSnO6,29.3643,2.1404,0.0
mp-1222546,LiCuSbO4,14.4323,1.5894,0.0
mp-758346,LiMn3Al2(HO2)6,8.3942,0.4867,0.0
mp-1299651,LiMn3O4,14.2875,0.7086,0.0
mp-1227939,BaLa3(NiO4)2,20.2678,0.7672,0.0
mp-1026910,MoW(SeS)2,9.2086,2.0855,0.0
mp-1208663,SrP2PdO7,8.4472,0.4345,0.0
mp-776449,Li2MnVP2(O4F)2,10.4759,0.3521,0.0
mp-777467,LiMn2(BO3)2,9.3488,0.4899,0.0
mp-759050,Li6FeCo9O20,12.6933,0.3276,0.0
mp-23108,Cs2NaUCl6,9.2089,0.4449,0.0
mvc-13145,Zn3Cu2(AsO4)4,11.5463,0.9292,0.0
mp-1028826,Te6MoW3S2,5.2441,0.7877,0.0
mp-1175647,Li9Mn2Co5O16,21.0374,1.4537,0.0
mp-1274653,La2MgCoO6,25.0448,1.5054,0.0
mp-567596,In6Se7,14.2618,0.4288,0.0
mp-1172871,Mn7GeO12,14.4633,0.3878,0.0
mp-560341,EuSi2(NO)2,15.2012,1.0442,0.0
mp-764005,Li4TiV3O8,27.8565,4.4176,0.0
mp-504636,K2MnO4,9.9231,1.0637,0.0
mp-1239175,TaCr3(AgS4)2,13.4274,0.6269,0.0
mp-756380,Li4Ti3Mn3(WO8)2,44.9539,75.2472,0.0
mp-574651,CsSmMnSe3,12.155,0.4995,0.0
mvc-8337,Cu3(MoO3)4,11.0989,0.3782,0.0
mp-560786,Nd10S19,17.6577,0.6477,0.0
mp-1175422,Li9Mn2Co5O16,15.2056,0.6896,0.0
mp-865424,CsUO3,11.3363,1.1668,0.0
mp-774323,Li4MnV3(P2O7)4,10.6817,1.7467,0.0
mp-1277566,CaLa3(CoO4)2,19.7591,0.8966,0.0
mp-1225204,Fe3(Se2S)2,30.1866,0.6984,0.0
mp-863292,Na3VP2O9,8.3461,0.6821,0.0
mp-1191858,Tl4CuTeO6,24.2378,1.2476,0.0
mp-1175994,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-760077,MnFeCo(PO4)3,10.4607,1.0783,0.0
mp-1193782,Mn5VO8,15.6086,0.4646,0.0
mp-706231,NaSr9Fe5(MoO6)5,18.0929,1.4881,0.0
mp-3927,CaAsAu,28.2099,0.8771,0.0
mp-760774,Li2Ni3SnO8,13.6177,1.2415,0.0
mp-1213648,CsTmMnSe3,12.1004,0.4547,0.0
mp-755025,VCu(PO4)2,20.9008,5.3213,0.0
