material_id,formula,diel_elec_wren,diel_elec_ale,diel_ionic_wren,diel_ionic_ale,diel_total_wren,diel_total_ale,bandgap_pbe,diel_total_wren_indi,fom_wren,ae_indi_direct,wyckoff,e_form
mp-849636,Sr4Ta4N4O8,7.4225,0.1783,131.196,7.198,100.373,8.6135,0.912,138.6185,126.42,38.2455,"['N-2 @ c-5', 'N-2 @ c-5', 'O-2 @ c-5', 'O-2 @ c-5', 'O-2 @ c-5', 'O-2 @ c-5', 'Sr-1 @ a-5', 'Sr-1 @ a-5', 'Sr-1 @ b-5', 'Sr-1 @ b-5', 'Ta-2 @ c-5', 'Ta-2 @ c-5']",-2.7571
mp-1217948,Ta4Mn4Nb4O24,6.1278,0.1864,43.0994,2.0606,60.7914,8.7595,2.5687,49.2271,126.4498,11.5643,"['Mn-2 @ a-18', 'Mn-2 @ b-18', 'Nb-4 @ c-18', 'O-4 @ c-18', 'O-4 @ c-18', 'O-4 @ c-18', 'O-4 @ c-18', 'O-4 @ c-18', 'O-4 @ c-18', 'Ta-4 @ c-18']",-2.9972
mp-1207720,Y2Cl6O24,3.1449,0.1421,22.0638,6.5094,30.6845,2.9765,5.0166,25.2087,126.4618,5.4759,"['Cl-6 @ h-176', 'O-12 @ i-176', 'O-6 @ h-176', 'O-6 @ h-176', 'Y-2 @ c-176']",-1.0847
mp-756042,V4O8F4,4.85,0.1506,59.1837,25.9203,55.4191,8.2835,1.9752,64.0338,126.4795,8.6147,"['F-4 @ a-19', 'O-4 @ a-19', 'O-4 @ a-19', 'V-4 @ a-19']",-2.4378
mp-755367,Li1Ta2Cu1O6,7.387,0.3185,135.8522,13.8669,135.3996,11.2633,0.883,143.2392,126.4802,7.8396,"['Cu-1 @ a-155', 'Li-1 @ b-155', 'O-3 @ d-155', 'O-3 @ e-155', 'Ta-2 @ c-155']",-2.7759
mp-27185,K1Th6F25,2.4837,0.087,17.1093,1.2746,14.6779,0.9219,6.4565,19.593,126.502,4.9151,"['F-2 @ c-166', 'F-2 @ c-166', 'F-3 @ d-166', 'F-6 @ f-166', 'F-6 @ h-166', 'F-6 @ h-166', 'K-1 @ b-166', 'Th-6 @ h-166']",-4.4384
mp-1223056,La2Ti2Zn1O8,5.6149,0.1869,50.9542,4.7167,34.0366,3.1548,2.2364,56.5691,126.5112,22.5325,"['La-2 @ g-115', 'O-2 @ e-115', 'O-2 @ f-115', 'O-2 @ g-115', 'O-2 @ g-115', 'Ti-2 @ g-115', 'Zn-1 @ a-115']",-3.4125
mp-1216759,Tl2Bi2F8,3.3919,0.1049,27.6851,2.3927,34.028,2.7379,4.071,31.077,126.5146,2.951,"['Bi-2 @ a-26', 'F-2 @ a-26', 'F-2 @ a-26', 'F-2 @ b-26', 'F-2 @ b-26', 'Tl-2 @ b-26']",-2.5178
mp-20056,Mg1Pb2W1O6,5.6414,0.1395,36.5301,3.1377,40.7059,2.2022,3.0007,42.1715,126.544,1.4656,"['Mg-1 @ a-225', 'O-6 @ e-225', 'Pb-2 @ c-225', 'W-1 @ b-225']",-2.1307
mp-675300,Ho4Zr4O14,5.3054,0.1297,38.9156,1.5987,42.9662,1.7862,2.862,44.221,126.5606,1.2549,"['Ho-2 @ a-51', 'Ho-2 @ f-51', 'O-2 @ e-51', 'O-2 @ e-51', 'O-2 @ e-51', 'O-4 @ j-51', 'O-4 @ j-51', 'Zr-2 @ c-51', 'Zr-2 @ f-51']",-3.7858
mp-1209295,Rb2Bi6F20,3.3326,0.1132,25.2915,1.1033,27.4528,1.6152,4.4235,28.6241,126.6187,1.1713,"['Bi-6 @ e-225', 'F-12 @ h-225', 'F-8 @ f-225', 'Rb-2 @ c-225']",-2.8677
