material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-0,SrMg2TaN,-0.13,0.0309
scn-1,YMg12Cl3,-0.7807,0.0194
scn-2,Ta2CuIO6,-2.491,0.0375
scn-3,TlMoF4,-2.4308,0.0338
scn-4,MgGa2WO6,-2.0546,0.0725
scn-5,RbCu7Bi2,0.1167,0.0151
scn-6,Rb3TaO7,-1.535,0.182
scn-7,Sc3GaPb,-0.4336,0.0093
scn-8,ZrAl5Tl,-0.0373,0.0201
scn-9,LiMg8Ta3,0.2978,0.0264
scn-10,ZrAs3Pb,-0.3138,0.0222
scn-11,LiMg3Ta,0.3127,0.0205
scn-12,Mg9Ta3In,0.2424,0.0299
scn-13,Mg8NbTlV2,0.2614,0.04
scn-14,Sr2Mg6NbIn,0.1026,0.0162
scn-15,Ti3(BiO2)4,-2.0332,0.0632
scn-16,Ca2ScNbAl6,-0.1741,0.0129
scn-17,Mg5TaAs,0.0493,0.0256
scn-18,Rh2SO2,-0.7758,0.0445
scn-19,Mo2Pb2O7,-1.9189,0.0536
scn-20,Nb3Al8Ag,-0.2191,0.0204
scn-21,Ba3(Mg4As)2,-0.3204,0.0171
scn-22,Mg11(Ti2Bi)2,0.1246,0.0328
scn-23,SrMg12TiNb2Bi2Pb,0.1391,0.0412
scn-24,Ca7HfTlCd,-0.0915,0.012
scn-25,Rb2YTaO7,-2.3237,0.113
scn-26,Mg6NiPb2W,0.2209,0.0163
scn-27,OsPb3F5,-1.7961,0.0783
scn-28,TcO3,-1.8432,0.0293
scn-29,TiSbO3,-2.5398,0.04
scn-30,Y3TlGe,-0.519,0.011
scn-31,Sr3Hf2Mg7,0.1663,0.0119
scn-32,Sr2YMg6Ta,0.2039,0.0162
scn-33,Na2Mg4GePb,-0.016,0.0136
scn-34,MgBiO,-1.3951,0.0315
scn-35,RbScO3,-2.3109,0.043
scn-36,Tl2HgCl,0.1823,0.2932
scn-37,Ba3Ca15HfNb4,0.3717,0.0256
scn-38,Na2Al7CrNi,-0.1306,0.0479
scn-39,TcPbO4,-1.8487,0.0237
scn-40,Li2Ti3Al8Zn,-0.1845,0.0128
scn-41,TaRu3O7,-1.8564,0.0292
scn-42,Na2Mg13Ti6,0.1995,0.0182
scn-43,Sr2TaAuO6,-2.6344,0.0364
scn-44,Mg7TaPb,0.1535,0.0201
scn-45,Mg5Ta2,0.2719,0.0375
scn-46,Mg5V2,0.3117,0.0617
scn-47,SrMg3Ti,0.1834,0.0224
scn-48,Na2ZrCl3,-1.6123,0.0322
